ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXATPCHALLENGERMATCH-26JUL13BOUZHA-BOU,KXATPCHALLENGERMATCH-26JUL13BOUZHA,Challenger,1783991160,1783992720,62.0,98.0,8,1.0,target,2.88,0.16,2.7199999999999998
KXATPCHALLENGERMATCH-26JUL13SHIHAR-SHI,KXATPCHALLENGERMATCH-26JUL13SHIHAR,Challenger,1783991580,1783992900,72.0,42.0,7,1.0,stop,-2.1,0.22,-2.3200000000000003
KXATPCHALLENGERMATCH-26JUL13VUKBRO-VUK,KXATPCHALLENGERMATCH-26JUL13VUKBRO,Challenger,1783995180,1783999680,64.0,37.0,8,1.0,stop,-2.16,0.27,-2.43
KXATPCHALLENGERMATCH-26JUL14FUEPRI-PRI,KXATPCHALLENGERMATCH-26JUL14FUEPRI,Challenger,1784014140,1784037120,70.0,41.0,7,1.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL14CASGHI-GHI,KXATPCHALLENGERMATCH-26JUL14CASGHI,Challenger,1784019720,1784022780,61.0,93.0,9,2.000000000000007,target,2.88,0.2,2.6799999999999997
KXATPCHALLENGERMATCH-26JUL14GALFOR-FOR,KXATPCHALLENGERMATCH-26JUL14GALFOR,Challenger,1784020860,1784021640,61.0,36.0,9,1.0,stop,-2.25,0.3,-2.55
KXATPCHALLENGERMATCH-26JUL14VILRIB-VIL,KXATPCHALLENGERMATCH-26JUL14VILRIB,Challenger,1784024340,1784027040,65.0,98.0,8,1.0,target,2.64,0.15,2.49
KXATPCHALLENGERMATCH-26JUL14BRUNIJ-NIJ,KXATPCHALLENGERMATCH-26JUL14BRUNIJ,Challenger,1784025960,1784027880,54.0,31.0,10,1.0,stop,-2.3000000000000003,0.32999999999999996,-2.6300000000000003
KXATPCHALLENGERMATCH-26JUL14RONGIU-GIU,KXATPCHALLENGERMATCH-26JUL14RONGIU,Challenger,1784032980,1784034780,63.0,37.0,8,2.0,stop,-2.08,0.28,-2.3600000000000003
KXWTAMATCH-26JUL14SALIBR-IBR,KXWTAMATCH-26JUL14SALIBR,WTA,1784033040,1784036700,70.0,98.0,7,1.0,target,1.9600000000000002,0.12,1.8400000000000003
KXATPCHALLENGERMATCH-26JUL14MARMAY-MAR,KXATPCHALLENGERMATCH-26JUL14MARMAY,Challenger,1784033520,1784042640,57.99999999999999,95.0,9,1.0,target,3.3300000000000005,0.19,3.1400000000000006
KXATPMATCH-26JUL15CERKEC-KEC,KXATPMATCH-26JUL15CERKEC,ATP,1784035440,1784195640,61.0,36.0,9,2.0,stop,-2.25,0.3,-2.55
KXATPMATCH-26JUL14TRAKRU-TRA,KXATPMATCH-26JUL14TRAKRU,ATP,1784036760,1784038860,65.0,98.0,8,2.0,target,2.64,0.15,2.49
KXWTAMATCH-26JUL14BULPRI-PRI,KXWTAMATCH-26JUL14BULPRI,WTA,1784037540,1784040000,64.0,97.0,8,1.0,target,2.64,0.15,2.49
KXATPCHALLENGERMATCH-26JUL14FUEPRI-PRI,KXATPCHALLENGERMATCH-26JUL14FUEPRI,Challenger,1784038920,1784039280,71.0,42.0,7,2.0,stop,-2.03,0.22999999999999998,-2.26
KXATPCHALLENGERMATCH-26JUL14SURECH-SUR,KXATPCHALLENGERMATCH-26JUL14SURECH,Challenger,1784040120,1784053200,61.0,36.0,9,2.000000000000007,stop,-2.25,0.3,-2.55
KXATPCHALLENGERMATCH-26JUL14FORGOR-FOR,KXATPCHALLENGERMATCH-26JUL14FORGOR,Challenger,1784043600,1784048220,66.0,39.0,8,3.000000000000007,stop,-2.16,0.27,-2.43
