n,resid,se,t,p,edge_c,net_c,net_se,net_mid_c,spread,fee_c,cell,bh_pass
447,-0.0030872483221476596,0.019944947554775078,-0.15478849035170977,0.8769880652149722,-0.30872483221476593,-4.514541387024608,1.989780946589872,-2.1185682326621924,4.832214765100671,1.8098434004474273,any|any|winrate_diff<=-0.25,False
1724,-0.001479118329466368,0.010394968305304342,-0.1422917594382278,0.8868495553130529,-0.1479118329466368,-4.466937354988399,1.0393087060694857,-1.95707656612529,5.0324825986078885,1.8091647331786542,any|any|winrate_diff<=0.0,False
2072,-0.0019642857142857274,0.009490142788320884,-0.20698168174066786,0.8360241645753534,-0.19642857142857273,-4.50530888030888,0.949326320384764,-2.012065637065637,5.001930501930502,1.8156370656370657,any|any|winrate_diff<=0.25,False
2388,-5.443886097153968e-05,0.008840831308816586,-0.006157663128042056,0.9950869267075451,-0.005443886097153967,-4.291038525963149,0.8847424658716045,-1.8136515912897822,4.971524288107203,1.8082077051926297,any|any|winrate_diff<=0.5,False
2287,-0.0003038915609969518,0.009047245412603358,-0.033589401761293276,0.9732045736700743,-0.03038915609969518,-4.324879755137735,0.9053611047792297,-1.8436816790555313,4.984258854394403,1.8132925229558374,any|any|rest_diff_days>=-3.0,False
2136,-0.005402621722846456,0.009352243920360956,-0.5776818663897657,0.5634789241004547,-0.5402621722846456,-4.836610486891386,0.935814298243668,-2.3581460674157304,4.978464419475656,1.817883895131086,any|any|rest_diff_days>=-1.0,False
1311,0.005621662852784122,0.011861574993332121,0.4739389883674209,0.6355434154349229,0.5621662852784123,-3.712433257055683,1.1860359743919542,-1.2433257055682685,4.958047292143402,1.805491990846682,any|any|rest_diff_days>=0.0,False
433,0.03590069284064664,0.019975587156635263,1.7972284148214166,0.07229936530462444,3.590069284064664,-0.6766743648960739,1.994106359889678,1.8140877598152425,5.013856812933025,1.7759815242494226,any|any|rest_diff_days>=1.0,False
221,0.05434389140271492,0.02643261725835262,2.0559406157762314,0.03978824055934904,5.434389140271493,1.2171945701357465,2.6418676574480493,3.665158371040724,4.950226244343892,1.7692307692307692,any|any|rest_diff_days>=3.0,False
214,0.015023364485981308,0.02825121921299505,0.5317775623315695,0.5948800648391166,1.5023364485981308,-2.5700934579439254,2.8308865821027647,-0.21728971962616822,4.705607476635514,1.719626168224299,any|any|rest_diff_days<=-3.0,False
365,0.038520547945205465,0.02209961659303875,1.743041458797942,0.08132637317519942,3.8520547945205466,-0.3013698630136986,2.213742010818822,2.1205479452054794,4.854794520547945,1.7315068493150685,any|any|rest_diff_days<=-1.0,False
1199,-0.004924937447873237,0.01250222426975038,-0.39392490021070214,0.6936364859901367,-0.49249374478732366,-4.769808173477898,1.252367663044999,-2.2964970809007506,4.966638865721435,1.8040033361134278,any|any|rest_diff_days<=0.0,False
2068,-0.006298355899419738,0.009540578193803521,-0.6601650100735442,0.5091479435893729,-0.6298355899419738,-4.90715667311412,0.955307411888727,-2.441247582205029,4.949226305609284,1.811411992263056,any|any|rest_diff_days<=1.0,False
2280,-0.004162280701754401,0.00909374268216784,-0.4577082118142981,0.6471620875208637,-0.4162280701754401,-4.697368421052632,0.9102055625786264,-2.225,4.96140350877193,1.8087719298245615,any|any|rest_diff_days<=3.0,False
4381,0.005477060031956161,0.0064369441314487815,0.8508789139860724,0.39483661918355617,0.5477060031956161,-3.7393289203378224,0.6443605868084001,-1.2155900479342616,5.067107966217758,1.763296051129879,any|any|workload_diff>=-2.0,False
4089,0.004304230863291743,0.0066569851806162535,0.646573598484906,0.5179079497193348,0.43042308632917425,-3.8495964783565664,0.6662963983837449,-1.331132306187332,5.057471264367816,1.7615553925165077,any|any|workload_diff>=-1.0,False
3432,0.009149184149184132,0.0072395502123539365,1.2637779807882952,0.20630972657618485,0.9149184149184132,-3.3755827505827507,0.7244090127061349,-0.8473193473193473,5.075174825174825,1.7622377622377623,any|any|workload_diff>=0.0,False
1128,0.02636081560283686,0.012458063535022162,2.11596413268653,0.03434785819194364,2.636081560283686,-1.5833333333333333,1.245406067007727,0.8958333333333334,4.977836879432624,1.7402482269503545,any|any|workload_diff>=1.0,False
450,0.025733333333333316,0.01896247978754744,1.3570658279742642,0.1747602951444116,2.5733333333333315,-1.4844444444444445,1.8957961426944983,0.8533333333333334,4.7155555555555555,1.72,any|any|workload_diff>=2.0,False
474,0.005696202531645553,0.019681025241055205,0.28942610772954575,0.772255318425848,0.5696202531645553,-3.632911392405063,1.9719784859127343,-1.1919831223628692,4.8734177215189876,1.761603375527426,any|any|workload_diff<=-2.0,False
1131,-0.009814323607427063,0.01282334614929363,-0.7653480997210452,0.4440642891984794,-0.9814323607427063,-5.197170645446508,1.2851509847648193,-2.7409372236958442,4.926613616268789,1.759504862953139,any|any|workload_diff<=-1.0,False
3435,-0.0027467248908297115,0.00730576487622264,-0.3759667792990723,0.7069415934713508,-0.27467248908297115,-4.563901018922853,0.7316007572630442,-2.043231441048035,5.058224163027656,1.7685589519650655,any|any|workload_diff<=0.0,False
4113,0.002120106977875018,0.0066802290771353304,0.317370400534854,0.7509625641212596,0.2120106977875018,-4.083394116216874,0.6687578419027843,-1.5540967663505956,5.0736688548504745,1.7661074641380987,any|any|workload_diff<=1.0,False
4382,0.0014057507987220326,0.006450937348087567,0.21791419182497238,0.8274959693798574,0.14057507987220327,-4.141259698767686,0.6456713350381437,-1.6246006389776357,5.047466910086718,1.7651757188498403,any|any|workload_diff<=2.0,False
4361,0.007129098830543441,0.006459182084011813,1.1037154144005088,0.2697166068998549,0.7129098830543441,-3.572116487044256,0.6466289299900048,-1.0506764503554231,5.062141710616831,1.7635863334097683,any|any|experience_diff>=-3.0,False
3882,0.00618109222050488,0.006810396867078984,0.9075964794920951,0.3640914550112717,0.618109222050488,-3.6689850592478104,0.6814898319612366,-1.1407779495105617,5.077022153529109,1.758887171561051,any|any|experience_diff>=-1.0,False
3232,0.008533415841584145,0.007464492420363299,1.143201086024925,0.25295511148114747,0.8533415841584145,-3.4229579207920793,0.7469610595738226,-0.9031559405940595,5.0625,1.7564975247524752,any|any|experience_diff>=0.0,False
1295,0.020911196911196892,0.01157500701299884,1.8065817919344174,0.0708275106085996,2.0911196911196894,-2.145945945945946,1.1571426366203161,0.33436293436293435,4.993050193050193,1.7567567567567568,any|any|experience_diff>=1.0,False
363,0.051804407713498604,0.021004737075173897,2.4663202175821435,0.013650923652797964,5.18044077134986,1.1101928374655647,2.0999114544603623,3.458677685950413,4.757575757575758,1.721763085399449,any|any|experience_diff>=3.0,False
375,-0.024866666666666676,0.022165870142364184,-1.1218448230074503,0.26192842441529596,-2.4866666666666677,-6.506666666666667,2.220147147623422,-4.241333333333333,4.509333333333333,1.7546666666666666,any|any|experience_diff<=-3.0,False
1331,-0.005469571750563495,0.01177831062146471,-0.4643765923948199,0.642377957574227,-0.5469571750563496,-4.808414725770097,1.1799406108751713,-2.320811419984974,4.979714500375658,1.7738542449286252,any|any|experience_diff<=-1.0,False
3268,-0.0020746634026927915,0.007512799443860582,-0.27615051063131935,0.7824324665061111,-0.20746634026927915,-4.493268053855569,0.7523965768385658,-1.9709302325581395,5.056303549571603,1.7634638922888617,any|any|experience_diff<=0.0,False
3913,-0.0004638384870943136,0.006865172602064645,-0.06756399496129463,0.9461327177355652,-0.04638384870943136,-4.347303858931766,0.6874122775265227,-1.8117812420138002,5.081267569639663,1.76539739330437,any|any|experience_diff<=1.0,False
4370,0.002686498855835227,0.006453133429389906,0.41630920625318835,0.6771837567734686,0.2686498855835227,-4.016475972540046,0.6458505785045502,-1.494508009153318,5.059496567505721,1.763157894736842,any|any|experience_diff<=3.0,False
1287,0.012420357420357407,0.011797363190690652,1.0528079215327,0.29242903366243445,1.2420357420357406,-2.9673659673659674,1.1798321569014811,-0.5271950271950272,4.911421911421911,1.7692307692307692,any|any|own_rest_days>=1.0,False
871,0.019776119402985057,0.014286155032537166,1.384285649843805,0.16627100626859637,1.9776119402985057,-2.283582089552239,1.4285490583025462,0.23938002296211253,5.087256027554535,1.738231917336395,any|any|own_rest_days>=2.0,False
768,0.018229166666666647,0.015192537157342565,1.1998763918017785,0.2301873499805822,1.8229166666666647,-2.4361979166666665,1.5178115464867914,0.07421875,5.0625,1.7486979166666667,any|any|own_rest_days>=3.0,False
532,0.011015037593984946,0.018178344161405798,0.605942845849009,0.5445527066487426,1.1015037593984947,-3.2011278195488724,1.8147476733317047,-0.6691729323308271,5.112781954887218,1.7706766917293233,any|any|own_rest_days>=5.0,False
220,0.03895454545454543,0.02795533617729699,1.3934565196243673,0.163481784585767,3.895454545454543,-0.4409090909090909,2.799136407689686,2.1227272727272726,5.2,1.7727272727272727,any|any|own_rest_days>=7.0,False
1726,0.0012572421784472687,0.010340383450932996,0.1215856437445586,0.90322718375931,0.12572421784472687,-4.198725376593279,1.0348667930987647,-1.6738122827346467,5.066048667439166,1.7995365005793742,any|any|own_rest_days<=1.0,False
2142,0.00043417366946777206,0.009267800103096418,0.04684754360667668,0.9626347362873615,0.043417366946777204,-4.237628384687208,0.9274588520234551,-1.7628384687208216,4.964519140989729,1.8062558356676004,any|any|own_rest_days<=2.0,False
2245,0.0018507795100222595,0.009050757872055608,0.20448889874035606,0.8379714662383564,0.18507795100222596,-4.095768374164811,0.905976252600752,-1.614476614699332,4.978619153674833,1.799554565701559,any|any|own_rest_days<=3.0,False
2481,0.004955663039097122,0.008603382986633266,0.5760133016043268,0.564606190796344,0.49556630390971224,-3.7738814993954053,0.8611748711214794,-1.2944377267230955,4.975816203143894,1.7900040306328093,any|any|own_rest_days<=5.0,False
2793,0.003431793770139621,0.008094067076321716,0.42398879794052463,0.6715739828950018,0.3431793770139621,-3.927318295739348,0.8097868533141805,-1.4445041174364484,4.984246330110992,1.7876834944504116,any|any|own_rest_days<=7.0,False
