event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass
KXATPCHALLENGERMATCH-26JUL26BITYIL,Challenger,2026-07-27 07:44:17.339097+00:00,4.228599999999998,11.52,0.2514,16.0,1,1,38.0,bot
KXATPCHALLENGERMATCH-26JUL27VRBJAN,Challenger,2026-07-27 08:48:01.711918+00:00,-1.3726999999999996,9.12,0.2527,8.0,1,1,71.0,bot
KXATPCHALLENGERMATCH-26JUL27BLACOM,Challenger,2026-07-27 08:50:44.108418+00:00,-1.6671000000000002,10.530000000000001,0.1371,9.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL27SAHTUR,Challenger,2026-07-27 08:51:11.432586+00:00,-0.8602,7.7,0.1602,7.0,1,1,84.0,bot
KXATPCHALLENGERMATCH-26JUL27BASNAK,Challenger,2026-07-27 09:08:43.852109+00:00,-1.3691999999999995,8.19,0.1792,7.0,1,1,84.0,bot
KXATPCHALLENGERMATCH-26JUL27POLKOV,Challenger,2026-07-27 09:25:12.983626+00:00,1.1816000000000002,5.739999999999999,0.0784,7.0,1,1,80.0,bot
KXITFMATCH-26JUL27TAKKRI,ITF-M,2026-07-27 09:25:37.668190+00:00,-2.6728,14.280000000000001,0.3928,12.0,1,1,52.0,bot
KXITFMATCH-26JUL27BALBRE,ITF-M,2026-07-27 09:25:40.713722+00:00,1.5685999999999996,7.290000000000001,0.1414,9.0,1,1,68.0,bot
KXITFMATCH-26JUL27GUABOR,ITF-M,2026-07-27 09:27:24.815748+00:00,-1.0922,7.91,0.1822,7.0,1,1,81.0,bot
KXITFWMATCH-26JUL27PAUTRA,ITF-W,2026-07-27 09:37:14.887273+00:00,2.6529,6.21,0.1371,9.0,1,1,68.0,bot
KXATPMATCH-26JUL27NISSHA,ATP,2026-07-27 22:18:13.349302+00:00,-2.0877999999999997,9.84,0.2478,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL26SHETOK,Challenger,2026-07-27 23:15:25.760830+00:00,2.2052,6.66,0.1348,9.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL26ZINARS,Challenger,2026-07-27 23:15:28.992652+00:00,2.24,5.76,0.0,8.0,1,1,72.0,bot
KXWTAMATCH-26JUL26GIBMAR,WTA,2026-07-27 23:22:18.290635+00:00,2.2988,6.66,0.0412,9.0,1,1,69.0,bot
KXWTAMATCH-26JUL27SAMKEY,WTA,2026-07-27 23:32:17.562120+00:00,-0.46799999999999975,8.24,0.228,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL26ZHUSHE,Challenger,2026-07-27 23:39:06.139843+00:00,1.0878999999999999,19.41,0.5021,21.0,1,2,69.0,bot
KXWTAMATCH-26JUL27KRUBOU,WTA,2026-07-28 00:48:14.529559+00:00,1.1534,23.34,0.5066,25.0,1,2,69.0,bot
KXWTAMATCH-26JUL27SIEPRO,WTA,2026-07-28 00:53:04.784147+00:00,-2.8099000000000003,11.52,0.2899,9.0,1,1,66.0,bot
KXATPCHALLENGERMATCH-26JUL26MARLAN,Challenger,2026-07-28 01:21:21.362020+00:00,0.0,0.0,0.0,0.0,1,1,71.0,bot
KXITFMATCH-26JUL27CAMATK,ITF-M,2026-07-28 02:50:40.290139+00:00,3.27,8.52,0.21,12.0,1,1,50.0,bot
KXITFWMATCH-26JUL27ADASYM,ITF-W,2026-07-28 02:57:27.219998+00:00,-2.7194999999999996,11.43,0.2895,9.0,1,1,68.0,bot
KXATPCHALLENGERMATCH-26JUL26CHUBOU,Challenger,2026-07-28 03:09:30.386630+00:00,3.4128,9.36,0.2272,13.0,1,1,48.0,bot
KXATPCHALLENGERMATCH-26JUL28KASFER,Challenger,2026-07-28 09:00:41.918111+00:00,0.5203000000000003,23.93,0.5497,25.0,1,2,66.0,bot
KXATPCHALLENGERMATCH-26JUL28KRUHEN,Challenger,2026-07-28 09:00:43.116640+00:00,-1.8358999999999994,10.53,0.3059,9.0,1,1,68.0,bot
KXATPCHALLENGERMATCH-26JUL28KIRINC,Challenger,2026-07-28 09:06:15.214308+00:00,1.6496000000000002,6.24,0.1104,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL28RIBTOR,Challenger,2026-07-28 09:23:32.812297+00:00,-2.9271000000000003,11.79,0.1371,9.0,1,1,68.0,bot
KXATPCHALLENGERMATCH-26JUL28NIKBAR,Challenger,2026-07-28 09:26:09.510031+00:00,-3.074,11.79,0.284,9.0,1,1,64.0,bot
KXATPCHALLENGERMATCH-26JUL28HOUCAR,Challenger,2026-07-28 09:33:39.349756+00:00,2.9166000000000003,5.9399999999999995,0.1434,9.0,1,1,65.0,bot
KXITFMATCH-26JUL28MASWRI,ITF-M,2026-07-28 09:34:02.452534+00:00,0.0,0.0,0.0,0.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL28MOLTOP,Challenger,2026-07-28 09:35:06.794024+00:00,0.0,0.0,0.0,0.0,1,2,67.0,bot
KXATPCHALLENGERMATCH-26JUL28SKAFAU,Challenger,2026-07-28 09:56:08.495869+00:00,2.6529,6.21,0.1371,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28VANMAT,ITF-M,2026-07-28 09:59:39.813200+00:00,2.7331,6.12,0.1469,9.0,1,1,63.0,bot
KXITFMATCH-26JUL28KAMHOH,ITF-M,2026-07-28 10:09:13.392865+00:00,3.5385000000000004,10.219999999999999,0.2415,14.0,1,1,44.0,bot
KXITFMATCH-26JUL28PERMOL,ITF-M,2026-07-28 10:09:14.506762+00:00,-2.9214000000000007,12.600000000000001,0.3214,10.0,1,1,57.0,bot
KXATPCHALLENGERMATCH-26JUL28VRBBAS,Challenger,2026-07-28 10:17:32.209858+00:00,1.8824000000000005,6.0,0.1176,8.0,1,1,70.0,bot
KXITFMATCH-26JUL28HUDPED,ITF-M,2026-07-28 10:28:31.671383+00:00,0.6816000000000009,21.79,0.5284,23.0,1,2,68.0,bot
KXITFMATCH-26JUL28IANTAB,ITF-M,2026-07-28 10:38:40.933204+00:00,-2.1840999999999995,10.89,0.2941,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28SARTOF,ITF-M,2026-07-28 10:45:29.821826+00:00,-2.9214000000000007,12.600000000000001,0.3214,10.0,1,1,57.0,bot
KXITFWMATCH-26JUL28SRAWIR,ITF-W,2026-07-28 10:45:31.009125+00:00,1.8046000000000004,6.08,0.1154,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28ZAAFRI,ITF-W,2026-07-28 10:46:09.524355+00:00,3.235,6.6000000000000005,0.165,10.0,1,1,62.0,bot
KXITFMATCH-26JUL28BELKAR,ITF-M,2026-07-28 10:50:52.723052+00:00,2.8286,6.03,0.1414,9.0,1,1,66.0,bot
KXITFWMATCH-26JUL28PLOFER,ITF-W,2026-07-28 10:53:09.638191+00:00,-2.2253000000000003,11.07,0.1553,9.0,1,2,67.0,bot
KXITFMATCH-26JUL28OBELIS,ITF-M,2026-07-28 10:59:40.577126+00:00,3.2181,7.59,0.1919,11.0,1,1,53.0,bot
KXITFMATCH-26JUL28FUNSHA,ITF-M,2026-07-28 12:52:46.569729+00:00,1.330699999999999,31.96,0.7093,34.0,1,2,46.0,bot
KXITFWMATCH-26JUL28BORNAJ,ITF-W,2026-07-28 12:52:47.578655+00:00,3.4,6.6,0.0,10.0,1,1,60.0,bot
KXITFWMATCH-26JUL28NIKHAD,ITF-W,2026-07-28 12:52:49.766582+00:00,-0.4804,14.0,0.4804,14.0,1,1,43.0,bot
KXITFWMATCH-26JUL28MICBER,ITF-W,2026-07-28 12:52:50.856813+00:00,-2.8882000000000003,13.530000000000001,0.3582,11.0,1,2,45.0,bot
KXITFMATCH-26JUL28FRYCOQ,ITF-M,2026-07-28 12:53:03.818780+00:00,-2.921700000000001,14.760000000000002,0.1617,12.0,1,1,49.0,bot
KXATPCHALLENGERMATCH-26JUL28ALKSIN,Challenger,2026-07-28 13:01:31.509269+00:00,-1.6973999999999996,9.44,0.2574,8.0,1,1,70.0,bot
KXITFMATCH-26JUL28MUNLEC,ITF-M,2026-07-28 13:13:09.466478+00:00,-1.5417000000000003,9.280000000000001,0.2617,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28GADBAR,ITF-W,2026-07-28 13:17:09.762258+00:00,4.1808,20.5,0.3192,25.0,1,1,25.0,bot
KXITFWMATCH-26JUL28CEXSHA,ITF-W,2026-07-28 13:19:15.172110+00:00,1.2914999999999983,39.92,0.7885,42.0,1,2,38.0,bot
KXITFWMATCH-26JUL28MUSGAI,ITF-W,2026-07-28 13:25:23.835672+00:00,-1.9161000000000001,12.54,0.3761,11.0,1,1,54.0,bot
KXITFMATCH-26JUL28COCCOM,ITF-M,2026-07-28 13:26:08.135156+00:00,1.5722,6.32,0.1078,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL28SCHGOM,Challenger,2026-07-28 13:31:09.464361+00:00,2.5652000000000004,6.3,0.1348,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28WEIRIS,ITF-M,2026-07-28 13:32:08.765254+00:00,4.148200000000001,36.04,0.8118,41.0,1,3,40.0,bot
KXITFWMATCH-26JUL28MAHDRI,ITF-W,2026-07-28 13:38:05.110060+00:00,-2.6651999999999996,11.52,0.1452,9.0,1,1,64.0,bot
KXATPCHALLENGERMATCH-26JUL28OLITAB,Challenger,2026-07-28 13:45:56.422044+00:00,1.5722,6.32,0.1078,8.0,1,1,74.0,bot
KXITFMATCH-26JUL28BREJAN,ITF-M,2026-07-28 14:00:39.892181+00:00,-5.604900000000001,28.89,0.7149,24.0,1,3,69.0,bot
KXITFWMATCH-26JUL28FAVSOU,ITF-W,2026-07-28 14:00:42.273408+00:00,-6.367900000000001,26.71,0.6578999999999999,21.0,2,2,58.0,bot
KXATPCHALLENGERMATCH-26JUL28ARNPIE,Challenger,2026-07-28 14:00:44.610948+00:00,2.6528,6.21,0.1372,9.0,1,2,66.0,bot
KXITFWMATCH-26JUL28RUTSPI,ITF-W,2026-07-28 14:01:25.734173+00:00,-2.3276,10.08,0.2476,8.0,1,1,74.0,bot
KXITFMATCH-26JUL28TABSPI,ITF-M,2026-07-28 14:02:11.119047+00:00,-7.7508,35.32,0.4308,28.0,1,2,62.0,bot
KXATPCHALLENGERMATCH-26JUL28TABSQU,Challenger,2026-07-28 14:09:49.107299+00:00,-5.0566,24.560000000000002,0.4966,20.0,1,2,74.0,bot
KXITFWMATCH-26JUL28SAGLEV,ITF-W,2026-07-28 14:17:24.443483+00:00,-8.793999999999995,71.56,1.234,64.0,1,3,49.0,bot
KXATPCHALLENGERMATCH-26JUL28FELMAY,Challenger,2026-07-28 14:34:37.092252+00:00,0.0,0.0,0.0,0.0,1,2,67.0,bot
KXATPCHALLENGERMATCH-26JUL28GOMCER,Challenger,2026-07-28 14:44:30.919623+00:00,1.7600000000000002,6.24,0.0,8.0,1,1,73.0,bot
KXITFMATCH-26JUL28SALFAB,ITF-M,2026-07-28 15:32:54.554187+00:00,3.6738999999999993,9.100000000000001,0.2261,13.0,1,1,48.0,bot
KXITFMATCH-26JUL28PLUPLA,ITF-M,2026-07-28 15:32:55.664458+00:00,3.2186999999999997,7.59,0.1913,11.0,1,1,54.0,bot
KXITFMATCH-26JUL28SCRALB,ITF-M,2026-07-28 15:32:56.620814+00:00,0.0,0.0,0.0,0.0,1,1,70.0,bot
KXATPCHALLENGERMATCH-26JUL28MAENEU,Challenger,2026-07-28 15:35:15.966024+00:00,2.7407,6.12,0.1393,9.0,1,1,67.0,bot
KXATPCHALLENGERMATCH-26JUL28ADDPOU,Challenger,2026-07-28 15:54:27.624146+00:00,-2.5300000000000002,13.530000000000001,0.0,11.0,1,1,54.0,bot
KXITFMATCH-26JUL28PERZAH,ITF-M,2026-07-28 15:55:33.502032+00:00,3.0048000000000004,5.85,0.1452,9.0,1,1,67.0,bot
KXITFMATCH-26JUL28DHOREC,ITF-M,2026-07-28 15:55:34.605435+00:00,-3.435199999999999,11.2,0.2352,8.0,1,1,70.0,bot
KXITFMATCH-26JUL28ROUSTR,ITF-M,2026-07-28 16:01:11.707455+00:00,2.4299999999999997,6.57,0.0,9.0,1,1,68.0,bot
KXATPMATCH-26JUL27MAJPAU,ATP,2026-07-28 16:03:57.403641+00:00,6.0142999999999995,12.65,0.3357,19.0,1,2,57.0,bot
KXWTAMATCH-26JUL28BUCKUD,WTA,2026-07-28 16:06:11.655061+00:00,-2.8092000000000006,11.52,0.2892,9.0,1,1,67.0,bot
KXWTAMATCH-26JUL27SONBRA,WTA,2026-07-28 16:06:13.757975+00:00,-1.8232999999999997,9.76,0.0633,8.0,1,1,72.0,bot
KXWTAMATCH-26JUL27WANMCC,WTA,2026-07-28 16:17:40.195031+00:00,-4.0225,12.870000000000001,0.1525,9.0,1,2,67.0,bot
KXITFMATCH-26JUL28MAZEDE,ITF-M,2026-07-28 17:04:11.722069+00:00,-3.0044000000000013,20.52,0.4844,18.0,1,1,34.0,bot
KXITFMATCH-26JUL28FONORT,ITF-M,2026-07-28 17:04:13.130332+00:00,1.9200000000000004,6.08,0.0,8.0,1,1,71.0,bot
KXITFWMATCH-26JUL28BRODES,ITF-W,2026-07-28 17:05:25.305832+00:00,-3.0193,11.879999999999999,0.1393,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28LESMEN,ITF-M,2026-07-28 17:25:39.176756+00:00,-2.8984000000000005,11.61,0.2884,9.0,1,1,63.0,bot
KXATPCHALLENGERMATCH-26JUL28MONJOR,Challenger,2026-07-28 17:53:09.534157+00:00,0.0,0.0,0.0,0.0,1,1,72.0,bot
KXITFWMATCH-26JUL28AGUHAR,ITF-W,2026-07-28 17:54:14.103800+00:00,-6.1429,25.5,0.6428999999999999,20.0,1,2,59.0,bot
KXITFMATCH-26JUL28MECORL,ITF-M,2026-07-28 17:55:30.264375+00:00,1.7600000000000002,6.24,0.0,8.0,1,1,73.0,bot
KXATPCHALLENGERMATCH-26JUL27MILVAN,Challenger,2026-07-28 17:56:08.876018+00:00,2.5199999999999996,6.48,0.0,9.0,1,1,67.0,bot
KXITFWMATCH-26JUL28DIGMIK,ITF-W,2026-07-28 17:58:39.060523+00:00,-3.2769,11.04,0.2369,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28NEWHAZ,ITF-W,2026-07-28 18:25:27.285350+00:00,3.1500000000000004,5.85,0.0,9.0,1,1,64.0,bot
KXITFMATCH-26JUL28NAGBRA,ITF-M,2026-07-28 18:30:07.777175+00:00,1.8046000000000004,6.08,0.1154,8.0,1,2,74.0,bot
KXWTAMATCH-26JUL27EALZHE,WTA,2026-07-28 18:31:30.972944+00:00,-2.8960999999999997,11.61,0.2861,9.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL28ZHULAN,Challenger,2026-07-28 18:32:30.132984+00:00,2.34,6.66,0.0,9.0,1,1,69.0,bot
KXITFWMATCH-26JUL28ANGCRO,ITF-W,2026-07-28 18:34:34.026926+00:00,0.0,0.0,0.0,0.0,1,1,66.0,bot
KXATPMATCH-26JUL27MANTIE,ATP,2026-07-28 18:44:13.750287+00:00,0.0,0.0,0.0,0.0,1,1,60.0,bot
KXITFWMATCH-26JUL28ZHUHRA,ITF-W,2026-07-28 18:49:11.848201+00:00,2.7407,6.12,0.1393,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28OSOCHA,ITF-M,2026-07-28 18:50:30.537379+00:00,1.5722,6.32,0.1078,8.0,1,1,74.0,bot
KXITFWMATCH-26JUL28COLKOI,ITF-W,2026-07-28 18:58:09.549167+00:00,2.5652000000000004,6.3,0.1348,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28STOBAE,ITF-M,2026-07-28 19:01:31.236599+00:00,-3.3561,11.120000000000001,0.2361,8.0,1,1,73.0,bot
KXITFWMATCH-26JUL28KULFRO,ITF-W,2026-07-28 19:10:09.623562+00:00,-2.4912,11.34,0.1512,9.0,1,2,66.0,bot
KXATPMATCH-26JUL27GIRHEW,ATP,2026-07-28 19:19:40.160515+00:00,3.3499000000000003,6.6,0.0501,10.0,1,1,61.0,bot
KXITFMATCH-26JUL28DUSFIL,ITF-M,2026-07-28 19:33:16.516757+00:00,-2.9352999999999994,11.649999999999999,0.28529999999999994,9.0,1,1,68.0,bot
KXITFMATCH-26JUL28HUELEI,ITF-M,2026-07-28 19:56:09.533793+00:00,-2.6723999999999988,11.52,0.1524,9.0,1,1,69.0,bot
KXITFMATCH-26JUL28OLIVER,ITF-M,2026-07-28 20:03:53.355129+00:00,-6.0,6.0,0.0,10.0,1,1,60.0,bot
KXITFWMATCH-26JUL28SAIPER,ITF-W,2026-07-28 20:11:35.195331+00:00,1.9722,5.92,0.1078,8.0,1,1,74.0,bot
