ticker,event,tournament,entry_ts,exit_ts,entry,exit,contracts,spread,reason,gross,fees,net
KXWTAMATCH-26JUL22CHAKRA-KRA,KXWTAMATCH-26JUL22CHAKRA,WTA,1784667600,1784736840,62.0,0.0,10,1.0,settlement,-6.2,0.17,-6.37
KXATPCHALLENGERMATCH-26JUL21BOUMON-BOU,KXATPCHALLENGERMATCH-26JUL21BOUMON,Challenger,1784669520,1784672700,60.0,90.0,10,1.9999999999999858,target,3.0,0.24000000000000002,2.76
KXATPMATCH-26JUL22BORBUR-BUR,KXATPMATCH-26JUL22BORBUR,ATP,1784672880,1784728140,33.0,52.0,18,1.0,target,3.42,0.6000000000000001,2.82
KXATPCHALLENGERMATCH-26JUL21MATMIL-MIL,KXATPCHALLENGERMATCH-26JUL21MATMIL,Challenger,1784675400,1784675460,4.0,1.0,156,2.0,stop,-4.68,0.53,-5.21
KXATPCHALLENGERMATCH-26JUL21MATMIL-MIL,KXATPCHALLENGERMATCH-26JUL21MATMIL,Challenger,1784675520,1784675580,4.0,1.0,156,1.0,stop,-4.68,0.53,-5.21
KXATPCHALLENGERMATCH-26JUL21MATMIL-MIL,KXATPCHALLENGERMATCH-26JUL21MATMIL,Challenger,1784675640,1784675700,3.0,1.0,208,1.0,stop,-4.16,0.58,-4.74
KXATPCHALLENGERMATCH-26JUL21MATMIL-MIL,KXATPCHALLENGERMATCH-26JUL21MATMIL,Challenger,1784675760,1784675940,5.0,0.0,125,1.0,settlement,-6.25,0.42,-6.67
KXATPMATCH-26JUL22RUBSKA-SKA,KXATPMATCH-26JUL22RUBSKA,ATP,1784676000,1784825280,12.0,1.0,52,2.0,stop,-5.72,0.43,-6.1499999999999995
KXATPCHALLENGERMATCH-26JUL21HOLJOH-JOH,KXATPCHALLENGERMATCH-26JUL21HOLJOH,Challenger,1784677440,1784685360,44.0,1.0,14,1.0,stop,-6.02,0.26,-6.279999999999999
KXATPCHALLENGERMATCH-26JUL21HOLJOH-JOH,KXATPCHALLENGERMATCH-26JUL21HOLJOH,Challenger,1784685420,1784685540,5.0,5.0,125,2.0,target,0.0,0.84,-0.84
KXATPCHALLENGERMATCH-26JUL21HOLJOH-JOH,KXATPCHALLENGERMATCH-26JUL21HOLJOH,Challenger,1784685600,1784685720,8.0,15.0,78,1.0,target,5.460000000000001,1.1099999999999999,4.350000000000001
