ticker,event,tier,market_result,value,yes_ct,no_ct,yes_cost,no_cost,fee,revenue,payout,cost,pnl,t_settled,f_yes_buy,f_sell,f_no_buy,f_yes_cost,f_no_cost,f_fee,t_first,t_last,n_fills,n_buy_fills,klass,match_date,t_entry,entry_px,n_buy_orders,gross_contracts
KXATPCHALLENGERMATCH-26JUL28KRUHEN-HEN,KXATPCHALLENGERMATCH-26JUL28KRUHEN,Challenger,no,0.0,9.0,9.0,5.22,5.31,0.3059,0.0,9.0,10.53,-1.8358999999999994,2026-07-28 10:32:46.009972+00:00,9.0,9.0,0.0,5.22,5.31,0.3059,2026-07-28 09:00:43.116640+00:00,2026-07-28 09:39:13.350451+00:00,2,1,bot,2026-07-28,2026-07-28 09:00:43.116640+00:00,68.0,1,9.0
KXATPCHALLENGERMATCH-26JUL28MAENEU-MAE,KXATPCHALLENGERMATCH-26JUL28MAENEU,Challenger,yes,100.0,9.0,9.0,6.03,0.09,0.1393,0.0,9.0,6.12,2.7407,2026-07-28 16:07:15.960013+00:00,9.0,9.0,0.0,6.03,0.09,0.1393,2026-07-28 15:35:15.966024+00:00,2026-07-28 15:53:17.002146+00:00,2,1,bot,2026-07-28,2026-07-28 15:35:15.966024+00:00,67.0,1,9.0
KXATPCHALLENGERMATCH-26JUL28NIKBAR-NIK,KXATPCHALLENGERMATCH-26JUL28NIKBAR,Challenger,no,0.0,9.0,9.0,5.67,6.12,0.284,0.0,9.0,11.79,-3.073999999999999,2026-07-28 11:02:56.015572+00:00,9.0,9.0,0.0,5.67,6.12,0.28400000000000003,2026-07-28 09:26:09.510031+00:00,2026-07-28 10:12:06.045530+00:00,2,1,bot,2026-07-28,2026-07-28 09:26:09.510031+00:00,64.0,1,9.0
KXATPCHALLENGERMATCH-26JUL28OLITAB-OLI,KXATPCHALLENGERMATCH-26JUL28OLITAB,Challenger,yes,100.0,8.0,8.0,5.92,0.4,0.1078,0.0,8.0,6.32,1.5721999999999996,2026-07-28 14:17:35.957698+00:00,8.0,8.0,0.0,5.92,0.4,0.1078,2026-07-28 13:45:56.422044+00:00,2026-07-28 14:02:49.253959+00:00,2,1,bot,2026-07-28,2026-07-28 13:45:56.422044+00:00,74.0,1,8.0
KXATPCHALLENGERMATCH-26JUL28RIBTOR-RIB,KXATPCHALLENGERMATCH-26JUL28RIBTOR,Challenger,no,0.0,9.0,9.0,6.12,5.67,0.1371,0.0,9.0,11.79,-2.9270999999999994,2026-07-28 10:57:36.014908+00:00,9.0,9.0,0.0,6.12,5.67,0.1371,2026-07-28 09:23:32.812297+00:00,2026-07-28 10:21:38.116705+00:00,2,1,bot,2026-07-28,2026-07-28 09:23:32.812297+00:00,68.0,1,9.0
KXATPCHALLENGERMATCH-26JUL28SCHGOM-GOM,KXATPCHALLENGERMATCH-26JUL28SCHGOM,Challenger,yes,100.0,9.0,9.0,6.21,0.09,0.1348,0.0,9.0,6.3,2.5652000000000004,2026-07-28 14:02:46.011719+00:00,9.0,9.0,0.0,6.209999999999999,0.09,0.1348,2026-07-28 13:31:09.464361+00:00,2026-07-28 13:45:42.992995+00:00,2,1,bot,2026-07-28,2026-07-28 13:31:09.464361+00:00,69.0,1,9.0
KXATPCHALLENGERMATCH-26JUL28SKAFAU-SKA,KXATPCHALLENGERMATCH-26JUL28SKAFAU,Challenger,yes,100.0,9.0,9.0,6.12,0.09,0.1371,0.0,9.0,6.21,2.6529,2026-07-28 10:57:36.015886+00:00,9.0,9.0,0.0,6.12,0.09,0.1371,2026-07-28 09:56:08.495869+00:00,2026-07-28 10:52:13.100043+00:00,2,1,bot,2026-07-28,2026-07-28 09:56:08.495869+00:00,68.0,1,9.0
KXATPCHALLENGERMATCH-26JUL28TABSQU-TAB,KXATPCHALLENGERMATCH-26JUL28TABSQU,Challenger,no,0.0,20.0,20.0,12.08,12.48,0.4966,0.0,20.0,24.560000000000002,-5.056600000000002,2026-07-28 15:32:36.026383+00:00,20.0,20.0,0.0,12.08,12.479999999999999,0.49660000000000004,2026-07-28 14:09:49.107299+00:00,2026-07-28 15:12:44.300124+00:00,5,3,bot,2026-07-28,2026-07-28 14:09:49.107299+00:00,74.0,2,20.0
KXATPCHALLENGERMATCH-26JUL28VRBBAS-BAS,KXATPCHALLENGERMATCH-26JUL28VRBBAS,Challenger,yes,100.0,8.0,8.0,5.6,0.4,0.1176,0.0,8.0,6.0,1.8824,2026-07-28 11:12:25.961766+00:00,8.0,8.0,0.0,5.6,0.4,0.1176,2026-07-28 10:17:32.209858+00:00,2026-07-28 10:55:21.962820+00:00,2,1,bot,2026-07-28,2026-07-28 10:17:32.209858+00:00,70.0,1,8.0
KXATPCHALLENGERMATCH-26JUL28ZHULAN-ZHU,KXATPCHALLENGERMATCH-26JUL28ZHULAN,Challenger,yes,100.0,9.0,9.0,6.21,0.45,0.0,0.0,9.0,6.66,2.34,2026-07-28 19:27:06.071519+00:00,9.0,9.0,0.0,6.209999999999999,0.45,0.0,2026-07-28 18:33:38.997396+00:00,2026-07-28 19:19:13.937620+00:00,2,1,bot,2026-07-28,2026-07-28 18:32:30.132984+00:00,69.0,1,9.0
