ticker,pnl,cost,fee,contracts,klass,tier,event,t_entry,entry_c,n_buys
KXITFMATCH-26JUL26DENHOL-DEN,4.4319,24.7212,0.2769,29.43,manual,ITF-M,KXITFMATCH-26JUL26DENHOL,2026-07-26 13:52:34.408888+00:00,99.0,1
KXITFMATCH-26JUL26VISVEN-VEN,24.2608,24.1374,0.8618,49.26,manual,ITF-M,KXITFMATCH-26JUL26VISVEN,2026-07-27 05:03:47.116465+00:00,99.0,1
KXITFMATCH-26JUL26ZAHPER-ZAH,-4.9998000000000005,4.7472,0.2526,19.78,manual,ITF-M,KXITFMATCH-26JUL26ZAHPER,2026-07-26 13:51:45.290070+00:00,99.0,1
KXITFMATCH-26JUL27BALBRE-BAL,1.5685999999999996,7.290000000000001,0.1414,9.0,bot,ITF-M,KXITFMATCH-26JUL27BALBRE,2026-07-27 09:25:40.713722+00:00,68.0,1
KXITFMATCH-26JUL27CAMATK-ATK,3.27,8.52,0.21,12.0,bot,ITF-M,KXITFMATCH-26JUL27CAMATK,2026-07-28 02:50:40.290139+00:00,50.0,1
KXITFMATCH-26JUL27DUHLUT-LUT,2.5311,8.14,0.3289,11.0,bot,ITF-M,KXITFMATCH-26JUL27DUHLUT,2026-07-27 06:21:50.627299+00:00,52.0,1
KXITFMATCH-26JUL27GUABOR-GUA,-1.0922,7.91,0.1822,7.0,bot,ITF-M,KXITFMATCH-26JUL27GUABOR,2026-07-27 09:27:24.815748+00:00,81.0,1
KXITFMATCH-26JUL27JIXKOX-KOX,0.5647999999999991,15.120000000000001,0.3152,16.0,bot,ITF-M,KXITFMATCH-26JUL27JIXKOX,2026-07-27 05:58:11.927642+00:00,83.0,6
KXITFMATCH-26JUL27KOZSEL-KOZ,1.3753999999999997,8.3,0.3246,10.0,bot,ITF-M,KXITFMATCH-26JUL27KOZSEL,2026-07-27 06:24:48.371304+00:00,55.0,1
KXITFMATCH-26JUL27SENKHO-KHO,2.9267000000000003,6.9,0.1733,10.0,bot,ITF-M,KXITFMATCH-26JUL27SENKHO,2026-07-27 06:01:12.294496+00:00,48.0,1
KXITFMATCH-26JUL27TAKKRI-KRI,-2.6728,14.280000000000001,0.3928,12.0,bot,ITF-M,KXITFMATCH-26JUL27TAKKRI,2026-07-27 09:25:37.668190+00:00,52.0,1
KXITFMATCH-26JUL28BELKAR-KAR,2.8286,6.03,0.1414,9.0,bot,ITF-M,KXITFMATCH-26JUL28BELKAR,2026-07-28 10:50:52.723052+00:00,66.0,1
KXITFMATCH-26JUL28BREJAN-BRE,-5.604900000000001,28.89,0.7149,24.0,bot,ITF-M,KXITFMATCH-26JUL28BREJAN,2026-07-28 14:00:39.892181+00:00,69.0,3
KXITFMATCH-26JUL28COCCOM-COM,1.5722,6.32,0.1078,8.0,bot,ITF-M,KXITFMATCH-26JUL28COCCOM,2026-07-28 13:26:08.135156+00:00,74.0,1
