event,tier,t_entry,pnl,cost,fee,contracts,n_tickers,n_buys,entry_c,klass,hr,utc_hour,et_hour,block,day
KXWTAMATCH-26JUL27SIEPRO,WTA,2026-07-28 00:53:04.784147+00:00,-2.8099000000000003,11.52,0.2899,9.0,1,1,66.0,bot,2026-07-28 00:00:00+00:00,0,20,00-03,2026-07-28
KXATPCHALLENGERMATCH-26JUL26MARLAN,Challenger,2026-07-28 01:21:21.362020+00:00,0.0,0.0,0.0,0.0,1,1,71.0,bot,2026-07-28 01:00:00+00:00,1,21,00-03,2026-07-28
KXITFMATCH-26JUL27CAMATK,ITF-M,2026-07-28 02:50:40.290139+00:00,3.27,8.52,0.21,12.0,1,1,50.0,bot,2026-07-28 02:00:00+00:00,2,22,00-03,2026-07-28
KXITFWMATCH-26JUL27ADASYM,ITF-W,2026-07-28 02:57:27.219998+00:00,-2.7194999999999996,11.43,0.2895,9.0,1,1,68.0,bot,2026-07-28 02:00:00+00:00,2,22,00-03,2026-07-28
KXATPCHALLENGERMATCH-26JUL26CHUBOU,Challenger,2026-07-28 03:09:30.386630+00:00,3.4128,9.36,0.2272,13.0,1,1,48.0,bot,2026-07-28 03:00:00+00:00,3,23,00-03,2026-07-28
KXATPCHALLENGERMATCH-26JUL28KASFER,Challenger,2026-07-28 09:00:41.918111+00:00,0.5203000000000003,23.93,0.5497,25.0,1,2,66.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28KRUHEN,Challenger,2026-07-28 09:00:43.116640+00:00,-1.8358999999999994,10.53,0.3059,9.0,1,1,68.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28KIRINC,Challenger,2026-07-28 09:06:15.214308+00:00,1.6496000000000002,6.24,0.1104,8.0,1,1,74.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28RIBTOR,Challenger,2026-07-28 09:23:32.812297+00:00,-2.9271000000000003,11.79,0.1371,9.0,1,1,68.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28NIKBAR,Challenger,2026-07-28 09:26:09.510031+00:00,-3.074,11.79,0.284,9.0,1,1,64.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28HOUCAR,Challenger,2026-07-28 09:33:39.349756+00:00,2.9166000000000003,5.9399999999999995,0.1434,9.0,1,1,65.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXITFMATCH-26JUL28MASWRI,ITF-M,2026-07-28 09:34:02.452534+00:00,0.0,0.0,0.0,0.0,1,1,69.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28MOLTOP,Challenger,2026-07-28 09:35:06.794024+00:00,0.0,0.0,0.0,0.0,1,2,67.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
KXATPCHALLENGERMATCH-26JUL28SKAFAU,Challenger,2026-07-28 09:56:08.495869+00:00,2.6529,6.21,0.1371,9.0,1,1,68.0,bot,2026-07-28 09:00:00+00:00,9,5,08-11,2026-07-28
