event,tier,match_date,t_entry,t_settled,pnl,fee,cost,contracts,n_tickers,n_buy_orders,entry_px,klass
KXITFMATCH-26JUL27KOZSEL,ITF-M,2026-07-27,2026-07-27 06:24:48.371304+00:00,2026-07-27 08:03:46.031360+00:00,1.3753999999999993,0.3246,8.3,10.0,1,1,55.0,bot
KXATPCHALLENGERMATCH-26JUL26BITYIL,Challenger,2026-07-26,2026-07-27 07:44:17.339097+00:00,2026-07-27 08:37:16.013778+00:00,4.2286,0.2514,11.52,16.0,1,1,38.0,bot
KXATPCHALLENGERMATCH-26JUL27VRBJAN,Challenger,2026-07-27,2026-07-27 08:48:01.711918+00:00,2026-07-27 10:37:26.015273+00:00,-1.3726999999999991,0.2527,9.12,8.0,1,1,71.0,bot
KXATPCHALLENGERMATCH-26JUL27BLACOM,Challenger,2026-07-27,2026-07-27 08:50:44.108418+00:00,2026-07-27 09:57:15.959380+00:00,-1.6671000000000011,0.1371,10.530000000000001,9.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL27SAHTUR,Challenger,2026-07-27,2026-07-27 08:51:11.432586+00:00,2026-07-27 10:37:26.011473+00:00,-0.8602000000000002,0.1602,7.7,7.0,1,1,84.0,bot
KXATPCHALLENGERMATCH-26JUL27BASNAK,Challenger,2026-07-27,2026-07-27 09:08:43.852109+00:00,2026-07-27 10:32:36.009621+00:00,-1.3691999999999995,0.1792,8.19,7.0,1,1,84.0,bot
KXATPCHALLENGERMATCH-26JUL27POLKOV,Challenger,2026-07-27,2026-07-27 09:25:12.983626+00:00,2026-07-27 10:12:25.955728+00:00,1.1816000000000006,0.0784,5.739999999999999,7.0,1,1,80.0,bot
KXITFMATCH-26JUL27TAKKRI,ITF-M,2026-07-27,2026-07-27 09:25:37.668190+00:00,2026-07-27 10:38:05.963550+00:00,-2.672800000000001,0.3928,14.280000000000001,12.0,1,1,52.0,bot
KXITFMATCH-26JUL27BALBRE,ITF-M,2026-07-27,2026-07-27 09:25:40.713722+00:00,2026-07-27 11:03:16.015840+00:00,1.568599999999999,0.1414,7.290000000000001,9.0,1,1,68.0,bot
KXITFMATCH-26JUL27GUABOR,ITF-M,2026-07-27,2026-07-27 09:27:24.815748+00:00,2026-07-27 10:18:16.008177+00:00,-1.0922,0.1822,7.91,7.0,1,1,81.0,bot
KXITFWMATCH-26JUL27PAUTRA,ITF-W,2026-07-27,2026-07-27 09:37:14.887273+00:00,2026-07-27 10:33:35.954375+00:00,2.6529,0.1371,6.21,9.0,1,1,68.0,bot
KXATPMATCH-26JUL27NISSHA,ATP,2026-07-27,2026-07-27 22:18:13.349302+00:00,2026-07-27 23:47:16.067006+00:00,-2.0877999999999997,0.2478,9.84,8.0,1,1,74.0,bot
KXATPCHALLENGERMATCH-26JUL26SHETOK,Challenger,2026-07-26,2026-07-27 23:15:25.760830+00:00,2026-07-28 01:09:36.020738+00:00,2.2052,0.1348,6.66,9.0,1,1,69.0,bot
KXATPCHALLENGERMATCH-26JUL26ZINARS,Challenger,2026-07-26,2026-07-27 23:15:28.992652+00:00,2026-07-27 23:33:06.015819+00:00,2.24,0.0,5.76,8.0,1,1,72.0,bot
KXWTAMATCH-26JUL26GIBMAR,WTA,2026-07-26,2026-07-27 23:22:18.290635+00:00,2026-07-27 23:57:06.016918+00:00,2.2988,0.0412,6.66,9.0,1,1,69.0,bot
KXWTAMATCH-26JUL27SAMKEY,WTA,2026-07-27,2026-07-27 23:32:17.562120+00:00,2026-07-28 00:42:16.051297+00:00,-0.4680000000000002,0.228,8.24,8.0,1,1,74.0,bot
