phase,factor,level,n,mis_pp,ci_lo,ci_hi,p_one,p_two,net_c,note,p_bh,bh_reject
5-seg,T4 hour x tier,CHALL @ 04:00–08:00 ET,162,3.827,-6.406,7.231,,0.32385,0.3865,bar +3.44pp; MDE 9.91c,0.32385,False
5-seg,T4 hour x tier,CHALL @ 08:00–12:00 ET,179,3.402,-6.9,6.396,,0.36155,-0.0644,bar +3.47pp; MDE 9.42c,0.36155,False
5-seg,T4 hour x tier,ITF-M @ 04:00–08:00 ET,453,0.587,-7.647,0.681,,0.82085,-3.4029,bar +3.99pp; MDE 5.92c,0.82085,False
5-seg,T4 hour x tier,ITF-M @ 08:00–12:00 ET,357,0.482,-8.042,1.61,,0.8874,-3.2517,bar +3.73pp; MDE 6.67c,0.8874,False
5-seg,T4 hour x tier,ITF-M @ 12:00–16:00 ET,205,1.049,-8.863,3.777,,0.80625,-2.4289,bar +3.48pp; MDE 8.81c,0.80625,False
5-seg,T4 hour x tier,ITF-W @ 04:00–08:00 ET,450,3.463,-4.607,3.482,,0.1198,-0.5268,bar +3.99pp; MDE 5.94c,0.1198,False
5-seg,T4 hour x tier,ITF-W @ 08:00–12:00 ET,285,-0.7,-10.008,0.953,,0.8481,-4.4319,bar +3.73pp; MDE 7.47c,0.8481,False
5-seg,T4 hour x tier,ITF-W @ 12:00–16:00 ET,217,7.348,-1.815,9.552,,0.0237,3.7914,bar +3.56pp; MDE 8.56c,0.0237,True
6-margin,reference,all label-verified,479,5.747,-1.894,6.048,,0.0067,2.141,bar +3.61pp MDE 5.71c,0.0067,True
6-margin,set-1 margin,6-0 / 6-1,36,,,,,,,skipped n<40,,False
6-margin,set-1 margin,6-2 / 6-3,160,8.147,-2.033,11.115,,0.03165,4.5641,bar +3.58pp MDE 9.47c,0.03165,True
6-margin,set-1 margin,6-4 / 7-5,190,4.124,-6.392,6.997,,0.2552,0.4661,bar +3.66pp MDE 9.51c,0.2552,False
6-margin,set-1 margin,7-6 tiebreak,93,1.839,-10.946,7.216,,0.7889,-1.6321,bar +3.47pp MDE 13.15c,0.7889,False
6-margin,tiebreak,set 1 went to a tiebreak,93,1.839,-11.04,7.285,,0.7952,-1.6321,bar +3.47pp MDE 13.15c,0.7952,False
6-margin,tiebreak,set 1 did not,386,6.689,-1.428,7.447,,0.00545,3.05,bar +3.64pp MDE 6.33c,0.00545,True
6-margin,games in set 1,6–8 games (blowout),99,10.859,-1.181,14.785,,0.0202,7.1955,bar +3.66pp MDE 11.31c,0.0202,True
6-margin,games in set 1,9–10 games,223,5.576,-3.949,7.952,,0.0868,1.9922,bar +3.58pp MDE 8.46c,0.0868,False
6-margin,games in set 1,11+ games (long set),157,2.768,-8.178,6.246,,0.5142,-0.8349,bar +3.60pp MDE 10.33c,0.5142,False
6-margin,best-of,best-of-5 (Slam men's main draw),73,6.219,-7.283,13.02,,0.31225,3.0327,bar +3.19pp MDE 14.75c,0.31225,False
6-margin,best-of,best-of-3 (everything else),406,5.663,-2.306,6.342,,0.01445,1.9806,bar +3.68pp MDE 6.19c,0.01445,True
6-margin,join canary,labelled join,3436,,,,,,,UNTESTABLE,,False
