minute,leader_goals,trailer_goals,leader_strength,trailer_strength,competition,matches,comebacks,comebacks_per_100,could_really_be_low_per_100,could_really_be_high_per_100
24,1,0,ALL,ALL,ALL,18378,2605,14.17,13.68,14.69
24,1,0,bottom third,bottom third,ALL,1348,212,15.73,13.88,17.77
24,1,0,bottom third,middle third,ALL,1536,279,18.16,16.32,20.17
24,1,0,bottom third,top third,ALL,1304,314,24.08,21.84,26.47
24,1,0,bottom third,unknown,ALL,104,18,17.31,11.24,25.71
24,1,0,middle third,bottom third,ALL,1856,223,12.02,10.61,13.57
24,1,0,middle third,middle third,ALL,1691,229,13.54,11.99,15.26
24,1,0,middle third,top third,ALL,1740,365,20.98,19.13,22.95
24,1,0,middle third,unknown,ALL,191,15,7.85,4.82,12.55
24,1,0,top third,bottom third,ALL,2162,159,7.35,6.33,8.53
24,1,0,top third,middle third,ALL,2451,230,9.38,8.29,10.60
24,1,0,top third,top third,ALL,2186,312,14.27,12.87,15.80
24,1,0,top third,unknown,ALL,255,19,7.45,4.82,11.34
24,1,0,unknown,bottom third,ALL,113,16,14.16,8.91,21.77
24,1,0,unknown,middle third,ALL,164,19,11.59,7.54,17.39
24,1,0,unknown,top third,ALL,182,39,21.43,16.09,27.95
24,1,0,unknown,unknown,ALL,1095,156,14.25,12.30,16.44
25,3,0,ALL,ALL,ALL,300,3,1.00,0.34,2.90
25,3,0,middle third,bottom third,ALL,44,1,2.27,0.40,11.81
25,3,0,top third,bottom third,ALL,62,0,0.00,0.00,5.83
25,3,0,top third,middle third,ALL,45,0,0.00,0.00,7.87
25,3,1,ALL,ALL,ALL,48,1,2.08,0.37,10.90
25,2,0,ALL,ALL,ALL,2848,127,4.46,3.76,5.28
25,2,0,bottom third,bottom third,ALL,196,10,5.10,2.79,9.14
25,2,0,bottom third,middle third,ALL,169,14,8.28,5.00,13.42
25,2,0,bottom third,top third,ALL,145,16,11.03,6.91,17.17
25,2,0,middle third,bottom third,ALL,298,14,4.70,2.82,7.73
25,2,0,middle third,middle third,ALL,230,12,5.22,3.01,8.90
25,2,0,middle third,top third,ALL,222,17,7.66,4.84,11.92
25,2,0,middle third,unknown,ALL,31,2,6.45,1.79,20.72
25,2,0,top third,bottom third,ALL,451,2,0.44,0.12,1.60
25,2,0,top third,middle third,ALL,453,13,2.87,1.68,4.85
25,2,0,top third,top third,ALL,347,14,4.03,2.42,6.66
25,2,0,top third,unknown,ALL,48,0,0.00,0.00,7.41
25,2,0,unknown,unknown,ALL,175,6,3.43,1.58,7.28
25,2,1,ALL,ALL,ALL,638,86,13.48,11.05,16.35
25,2,1,bottom third,bottom third,ALL,49,10,20.41,11.48,33.64
25,2,1,bottom third,middle third,ALL,38,10,26.32,14.97,42.01
25,2,1,bottom third,top third,ALL,43,13,30.23,18.60,45.11
25,2,1,middle third,bottom third,ALL,65,7,10.77,5.32,20.60
25,2,1,middle third,middle third,ALL,54,5,9.26,4.02,19.91
25,2,1,middle third,top third,ALL,51,8,15.69,8.17,28.01
25,2,1,top third,bottom third,ALL,82,8,9.76,5.03,18.09
25,2,1,top third,middle third,ALL,96,9,9.38,5.01,16.87
25,2,1,top third,top third,ALL,82,11,13.41,7.66,22.45
25,2,1,unknown,unknown,ALL,39,3,7.69,2.65,20.32
25,1,0,ALL,ALL,ALL,18725,2621,14.00,13.51,14.50
25,1,0,bottom third,bottom third,ALL,1379,209,15.16,13.36,17.15
25,1,0,bottom third,middle third,ALL,1581,290,18.34,16.51,20.33
25,1,0,bottom third,top third,ALL,1341,324,24.16,21.95,26.52
25,1,0,bottom third,unknown,ALL,109,19,17.43,11.45,25.63
25,1,0,middle third,bottom third,ALL,1884,225,11.94,10.56,13.49
25,1,0,middle third,middle third,ALL,1723,225,13.06,11.55,14.73
25,1,0,middle third,top third,ALL,1780,364,20.45,18.64,22.39
25,1,0,middle third,unknown,ALL,195,15,7.69,4.72,12.30
25,1,0,top third,bottom third,ALL,2189,160,7.31,6.29,8.48
25,1,0,top third,middle third,ALL,2506,231,9.22,8.15,10.41
25,1,0,top third,top third,ALL,2217,316,14.25,12.86,15.77
25,1,0,top third,unknown,ALL,256,16,6.25,3.88,9.91
25,1,0,unknown,bottom third,ALL,114,15,13.16,8.14,20.58
25,1,0,unknown,middle third,ALL,166,20,12.05,7.94,17.88
25,1,0,unknown,top third,ALL,183,38,20.77,15.52,27.21
25,1,0,unknown,unknown,ALL,1102,154,13.97,12.05,16.15
26,4,0,ALL,ALL,ALL,31,0,0.00,0.00,11.03
26,3,0,ALL,ALL,ALL,324,4,1.23,0.48,3.13
26,3,0,middle third,bottom third,ALL,43,1,2.33,0.41,12.06
26,3,0,top third,bottom third,ALL,65,0,0.00,0.00,5.58
26,3,0,top third,middle third,ALL,53,0,0.00,0.00,6.76
26,3,1,ALL,ALL,ALL,57,0,0.00,0.00,6.31
26,2,0,ALL,ALL,ALL,3049,134,4.39,3.72,5.18
26,2,0,bottom third,bottom third,ALL,212,12,5.66,3.27,9.63
26,2,0,bottom third,middle third,ALL,184,15,8.15,5.00,13.01
26,2,0,bottom third,top third,ALL,156,17,10.90,6.92,16.76
26,2,0,middle third,bottom third,ALL,322,14,4.35,2.61,7.16
26,2,0,middle third,middle third,ALL,251,12,4.78,2.76,8.17
26,2,0,middle third,top third,ALL,239,19,7.95,5.15,12.08
26,2,0,middle third,unknown,ALL,31,2,6.45,1.79,20.72
26,2,0,top third,bottom third,ALL,483,2,0.41,0.11,1.50
26,2,0,top third,middle third,ALL,469,12,2.56,1.47,4.42
26,2,0,top third,top third,ALL,380,14,3.68,2.21,6.09
26,2,0,top third,unknown,ALL,53,0,0.00,0.00,6.76
26,2,0,unknown,unknown,ALL,183,7,3.83,1.87,7.68
26,2,1,ALL,ALL,ALL,730,97,13.29,11.02,15.94
26,2,1,bottom third,bottom third,ALL,58,11,18.97,10.93,30.85
26,2,1,bottom third,middle third,ALL,42,11,26.19,15.30,41.07
26,2,1,bottom third,top third,ALL,49,16,32.65,21.21,46.62
26,2,1,middle third,bottom third,ALL,73,7,9.59,4.72,18.50
26,2,1,middle third,middle third,ALL,67,6,8.96,4.17,18.19
26,2,1,middle third,top third,ALL,58,8,13.79,7.16,24.93
26,2,1,top third,bottom third,ALL,86,7,8.14,4.00,15.86
26,2,1,top third,middle third,ALL,111,12,10.81,6.29,17.95
26,2,1,top third,top third,ALL,99,14,14.14,8.61,22.35
26,2,1,unknown,unknown,ALL,46,3,6.52,2.24,17.50
26,1,0,ALL,ALL,ALL,18998,2629,13.84,13.35,14.34
26,1,0,bottom third,bottom third,ALL,1388,209,15.06,13.27,17.04
26,1,0,bottom third,middle third,ALL,1592,288,18.09,16.28,20.06
26,1,0,bottom third,top third,ALL,1363,328,24.06,21.87,26.40
26,1,0,bottom third,unknown,ALL,116,20,17.24,11.45,25.14
26,1,0,middle third,bottom third,ALL,1911,227,11.88,10.50,13.41
26,1,0,middle third,middle third,ALL,1748,228,13.04,11.55,14.70
26,1,0,middle third,top third,ALL,1798,361,20.08,18.29,21.99
26,1,0,middle third,unknown,ALL,196,15,7.65,4.69,12.24
26,1,0,top third,bottom third,ALL,2233,164,7.34,6.33,8.50
26,1,0,top third,middle third,ALL,2562,227,8.86,7.82,10.02
26,1,0,top third,top third,ALL,2245,317,14.12,12.74,15.62
26,1,0,top third,unknown,ALL,263,17,6.46,4.07,10.11
26,1,0,unknown,bottom third,ALL,115,15,13.04,8.07,20.41
26,1,0,unknown,middle third,ALL,165,18,10.91,7.01,16.58
26,1,0,unknown,top third,ALL,187,39,20.86,15.65,27.24
26,1,0,unknown,unknown,ALL,1116,156,13.98,12.07,16.14
27,4,0,ALL,ALL,ALL,35,0,0.00,0.00,9.89
27,3,0,ALL,ALL,ALL,364,5,1.37,0.59,3.17
27,3,0,middle third,bottom third,ALL,44,1,2.27,0.40,11.81
27,3,0,top third,bottom third,ALL,76,0,0.00,0.00,4.81
27,3,0,top third,middle third,ALL,59,0,0.00,0.00,6.11
27,3,0,top third,top third,ALL,33,0,0.00,0.00,10.43
