series,category,frequency,fee_type,n_open_markets,n_settled_downloaded,median_spread_cents,median_price,quoted_fraction,median_volume,markets_per_event,strike_types,breakeven_edge_cents,d1_ground_truth,d2_cost_bar,d3_liquidity,d4_structural,d5_recurrence,d6_counterparty,d7_settlement,d8_data_cost,total_score,killed,kill_reasons
KXRDDTA,Financials,one_off,quadratic,10,0,6.0,0.32,0.9,1255.0,10.0,greater,9.06,1,1,2,4,0,,3,5,16,False,
KXRECSSNBER,Economics,annual,quadratic,2,0,1.5,0.2675,1.0,1520515.1,1.0,,4.26,1,3,4,0,0,,3,5,16,False,
KXRELOCATIONCHI,Sports,custom,quadratic,4,0,1.0,0.355,0.75,175209.5,4.0,custom,4.22,1,3,3,1,0,,3,5,16,False,
KXRIVN,Financials,one_off,quadratic,14,0,6.0,0.6375,1.0,77.3,14.0,greater,9.24,1,1,2,4,0,,3,5,16,False,
KXROLEATEVENTCOACHELLA,Unknown,,quadratic,114,0,5.0,0.035,1.0,33.6,114.0,,5.48,1,2,3,2,0,,3,5,16,False,
KXROLEATGRAMMYS,Unknown,,quadratic,10,0,6.5,0.0925,1.0,229.4,10.0,,7.68,1,2,3,2,0,,3,5,16,False,
KXRONI,Unknown,,quadratic,16,0,6.5,0.135,0.875,638.8,5.0,"between,greater_or_equal,less",8.14,1,1,2,4,0,,3,5,16,False,
KXSATOSHIBTCYEAR,Crypto,one_off,quadratic,1,0,3.0,0.055,1.0,169513.8,1.0,,3.74,1,3,4,0,0,,3,5,16,False,
KXSBUXSAR,Economics,monthly,quadratic,6,0,5.5,0.2925,1.0,551.2,6.0,greater_or_equal,8.4,1,1,3,3,0,,3,5,16,False,
KXSCRSENS,Unknown,,quadratic,11,0,1.0,0.24,0.273,131588.9,11.0,custom,3.56,1,3,2,2,0,,3,5,16,False,
KXSEMIPRODH,Economics,annual,quadratic,9,0,5.0,0.635,1.0,225.9,9.0,greater,8.26,1,1,3,3,0,,3,5,16,False,
KXSENATEMIR,Unknown,,quadratic,5,0,0.8,0.995,0.2,552.0,5.0,custom,0.94,1,5,1,1,0,,3,5,16,False,
