wallet,n_markets_p1,n_fills_p1,avg_entry_p1,win_rate_p1,edge_p1,edge_se_p1,notional_p1,n_markets_p2,n_fills_p2,avg_entry_p2,win_rate_p2,edge_p2,edge_se_p2,notional_p2
0x081e14554b92ee3dc53a21bd5b01f306692ef76e,34.0,66.0,0.4620538309558076,0.4411764705882353,-0.020877360367572293,0.07576886325717289,18031.070032922657,45.0,94.0,0.45302324155721263,0.3111111111111111,-0.1419121304461015,0.07089268843414923,24053.11225316977
0x0a655325b49accb62fd4f6a33fa073c06e91d43f,41.0,48.0,0.8817860697704835,0.9512195121951219,0.06943344242463856,0.03505258798569609,90.4986229997658,39.0,50.0,0.6436488850924238,0.6410256410256411,-0.0026232440667828686,0.07916065326175861,93.44693199841674
0x0adedcb79423aed988a849827ff80b8cc7b3ed94,48.0,84.0,0.6566308152433618,0.75,0.09336918475663825,0.05217257187110867,39279.70223600425,23.0,28.0,0.5337196997608696,0.5652173913043478,0.03149769154347828,0.09134294125904985,4271.938700000464
0x0b2a9c62c82d2813ad34ac25cbdd8608ad3c0a73,22.0,28.0,0.6045036772046085,0.5909090909090909,-0.013594586295517574,0.09177819431638759,328.6447,59.0,89.0,0.6305918263360826,0.576271186440678,-0.05432063989540455,0.05986508751818793,1196.0788390007317
0x0c222c7066850fbb4f94100a73b3e057759a0a8c,21.0,206.0,0.3886291167519806,0.23809523809523808,-0.15053387865674248,0.09470309866016753,1043.4121199940905,76.0,781.0,0.43585158454431855,0.2894736842105263,-0.14637790033379222,0.04732085359432712,9014.066346963335
0x0c99d9f172fc4c25fd2aa92f9fc272da5f020c88,234.0,1603.0,0.46075238018803594,0.41025641025641024,-0.050495969931625695,0.028358487414170873,66755.77267717186,228.0,1336.0,0.4460005917874255,0.38596491228070173,-0.060035679506723755,0.029408417559144508,148155.74604592184
0x0d10fdbccf762e55a70e7df0856fb6914cb1780b,132.0,183.0,0.4828555507026717,0.5378787878787878,0.05502323717611619,0.03565332250943773,685.0675939037127,143.0,176.0,0.6334851451193195,0.7062937062937062,0.07280856117438685,0.03528891986360401,1979.9994909843838
0x0d2d845a6ff64e31e04a70afce8a573940767ff5,216.0,13811.0,0.47533619568505997,0.49537037037037035,0.02003417468531041,0.03199903048213459,238513.4609510328,727.0,27246.0,0.48927537942146054,0.5502063273727648,0.06093094795130424,0.016728737567156864,1219085.9694600888
0x0d5f3020b3da232af2a29e0fe499e45e2a3a1171,150.0,498.0,0.7021753785848542,0.84,0.1378246214151457,0.027989050290128957,9499.726919979128,161.0,415.0,0.7225211467467813,0.7763975155279503,0.053876368781169144,0.025760106546711167,4894.723188006793
0x0df758f3a438f88d9b98da42ab76cd585a101ec1,140.0,505.0,0.5170778991354639,0.5071428571428571,-0.00993504199260675,0.03555258618714181,14358.234222581765,204.0,942.0,0.5014499858607161,0.5735294117647058,0.07207942590398983,0.02955730035458745,10580.557884002741
0x0e31656d0c1395ca32fed2518624aa091dec0117,23.0,23.0,0.7499998735391303,0.7391304347826086,-0.01086943875652176,0.0909999607691677,25.77443866015758,27.0,35.0,0.7331642461318417,0.8518518518518519,0.1186876057200102,0.0657345081915957,38.49993800000449
0x0ec7f0eac6c47934ab9b41e02bd8f15a5f4293d1,34.0,58.0,0.4181877355381133,0.4117647058823529,-0.006423029655760415,0.08064848112307817,190.91540999991275,153.0,294.0,0.4973635366510245,0.48366013071895425,-0.013703405932070296,0.034267328987303586,1215.894759999309
0x0eca22b35c0aacf21e5ecff602489ee239e5c56a,67.0,297.0,0.48403570069340557,0.582089552238806,0.09805385154540039,0.04936104829895826,3285.388129000467,71.0,352.0,0.44118966303792234,0.352112676056338,-0.08907698698158428,0.05329276614900809,9206.081831991183
0x0ee52436cfd4c726385fec293d48d99d3b44e798,23.0,64.0,0.23862450438130423,0.2608695652173913,0.022245060836087065,0.06966928017809317,4250.741667957862,20.0,46.0,0.20385055017621773,0.3,0.09614944982378226,0.0836951370391528,5562.519966959657
0x0f76e9a901b9b18b0ac0561556079aa4f0a6dcc9,37.0,252.0,0.46022139233795706,0.43243243243243246,-0.027788959905524643,0.07694925354110674,4966.3360809885435,125.0,1734.0,0.5411243366107029,0.552,0.010875663389297109,0.03868852197988845,25147.119095020505
0x12082135bdeab5384b248951b1fc3caca49f0160,30.0,108.0,0.1912376412299072,0.13333333333333333,-0.05790430789657386,0.05425597432763606,169.62876985708806,79.0,464.0,0.31291728884120984,0.31645569620253167,0.003538407361321775,0.04366838050000023,1085.7591509869178
0x1301e16c030c2414987afcd4048ca3be9a4f2f0a,43.0,101.0,0.6190061019454888,0.7441860465116279,0.1251799445661391,0.06442436066969168,235.95885809296703,28.0,111.0,0.6107770082605152,0.6785714285714286,0.06779442031091341,0.08466670981659097,139.42981400037664
0x133a9901fcdb918685b90c93f8fd574521df504a,58.0,87.0,0.43095666347025663,0.46551724137931033,0.03456057790905371,0.06039245927932371,2053.986443853829,161.0,214.0,0.38801455095922976,0.34782608695652173,-0.040188464002708035,0.037359966512621814,7731.229831979466
0x147c2760baa011fdcd0d02ea0f610ffb0fd92540,71.0,155.0,0.5207956013141115,0.6619718309859155,0.141176229671804,0.052947641490852966,397.53339000000005,106.0,196.0,0.4842729811061284,0.5094339622641509,0.02516098115802263,0.04590559327351456,668.2067149997825
0x14e72e19ea2f6e2be41504dd3268184ebe5fa32c,48.0,186.0,0.5082060932528732,0.4791666666666667,-0.02903942658620648,0.061900080580524035,4242.020599997963,121.0,2397.0,0.48931938576078665,0.4462809917355372,-0.043038394025249414,0.04116187896018874,29225.84459399318
0x157eaba3d17f22b38c3fa957dc1c7fc4f4587aca,84.0,203.0,0.7137346227453433,0.75,0.03626537725465668,0.03641363703711502,1097.4800440285405,35.0,51.0,0.577850685776984,0.6857142857142857,0.10786359993730167,0.06668944365698436,175.08292900000575
