bin_lo,bin_hi,n,mean_pred,observed_freq,gap,offset_s,model
0.7000000000000001,0.8,212,0.7472983946948306,0.7735849056603774,-0.026286510965546794,600,flat_sigma
0.8,0.9,185,0.8465199648550089,0.9297297297297298,-0.08320976487472087,600,flat_sigma
0.9,1.0,84,0.936440681279718,0.9523809523809523,-0.015940271101234305,600,flat_sigma
0.0,0.1,156,0.061610415279071726,0.10897435897435898,-0.04736394369528725,600,seasonal_sigma
0.1,0.2,278,0.15523502040227458,0.16546762589928057,-0.010232605497005998,600,seasonal_sigma
0.2,0.30000000000000004,311,0.2495849649244807,0.3311897106109325,-0.08160474568645179,600,seasonal_sigma
0.30000000000000004,0.4,347,0.35115742479569395,0.3919308357348703,-0.04077341093917636,600,seasonal_sigma
0.4,0.5,330,0.45100900710906744,0.47878787878787876,-0.027778871678811323,600,seasonal_sigma
0.5,0.6000000000000001,306,0.5492081778505925,0.5816993464052288,-0.032491168554636296,600,seasonal_sigma
0.6000000000000001,0.7000000000000001,276,0.6483000595973033,0.6992753623188406,-0.050975302721537274,600,seasonal_sigma
0.7000000000000001,0.8,218,0.7477831902347524,0.7752293577981652,-0.027446167563412782,600,seasonal_sigma
0.8,0.9,188,0.8493993546997927,0.9308510638297872,-0.08145170912999455,600,seasonal_sigma
0.9,1.0,95,0.9390372089048179,0.9473684210526315,-0.008331212147813627,600,seasonal_sigma
0.0,0.1,13,0.07210440864086912,0.3076923076923077,-0.2355878990514386,780,flat_sigma
0.1,0.2,86,0.15426155448645607,0.2441860465116279,-0.08992449202517183,780,flat_sigma
0.2,0.30000000000000004,284,0.25770903960651814,0.3415492957746479,-0.08384025616812973,780,flat_sigma
0.30000000000000004,0.4,484,0.3523844610745834,0.3677685950413223,-0.015384133966738933,780,flat_sigma
0.4,0.5,613,0.45115220723215793,0.4535073409461664,-0.0023551337140084727,780,flat_sigma
0.5,0.6000000000000001,502,0.5456105588872485,0.5896414342629482,-0.04403087537569972,780,flat_sigma
0.6000000000000001,0.7000000000000001,319,0.6435705139741932,0.7241379310344828,-0.08056741706028958,780,flat_sigma
0.7000000000000001,0.8,148,0.7407097560197389,0.777027027027027,-0.0363172710072881,780,flat_sigma
0.8,0.9,51,0.8342414189762631,0.7843137254901961,0.04992769348606707,780,flat_sigma
0.9,1.0,5,0.9187065241159361,1.0,-0.08129347588406388,780,flat_sigma
0.0,0.1,16,0.07387852687896974,0.375,-0.30112147312103027,780,seasonal_sigma
0.1,0.2,94,0.15650086797466647,0.23404255319148937,-0.07754168521682289,780,seasonal_sigma
0.2,0.30000000000000004,289,0.2579506105177656,0.3391003460207612,-0.08114973550299565,780,seasonal_sigma
0.30000000000000004,0.4,481,0.35249697486533077,0.367983367983368,-0.015486393118037234,780,seasonal_sigma
0.4,0.5,600,0.45124431956174077,0.4583333333333333,-0.007089013771592545,780,seasonal_sigma
0.5,0.6000000000000001,495,0.5457989378113296,0.5898989898989899,-0.044100052087660324,780,seasonal_sigma
0.6000000000000001,0.7000000000000001,315,0.6434792549795317,0.7174603174603175,-0.07398106248078573,780,seasonal_sigma
0.7000000000000001,0.8,155,0.740538174910055,0.7806451612903226,-0.04010698638026755,780,seasonal_sigma
0.8,0.9,54,0.835275189272636,0.7777777777777778,0.05749741149485821,780,seasonal_sigma
0.9,1.0,6,0.9196175180869796,1.0,-0.08038248191302044,780,seasonal_sigma
