wallet,n_markets,n_fills,avg_entry,win_rate,edge,edge_se,notional,shrink_w,edge_shrunk,t_stat,p_value,q_value,significant_fdr
0xb5241cd8c2b89bf3e36565dfcfbc249251ed660b,39.0,39.0,0.7841025641025641,0.8717948717948718,0.08769230769230768,0.051769578677497,109.4866,0.5046675389292454,0.05034634108787626,1.6938964915784689,0.09028495376654311,0.3496169606064785,False
0xa8065905876f1746f4d7321c3d7eee503080d49d,24.0,25.0,0.7625187993533488,0.875,0.11248120064665133,0.06691092778912011,58.829978000089525,0.37884617261729103,0.050251120960401185,1.6810587502411087,0.09275150360700035,0.35649199374434265,False
0xec690ecdbe75275f390d9460b112dfc53ae36fba,170.0,1087.0,0.5660758891623553,0.6294117647058823,0.06333587554352711,0.030687678550497324,70189.95479548073,0.7435597888125752,0.05024733991912728,2.06388617631361,0.03902850972307692,0.2155343181494976,False
0x66e46e0518a9ae1b7cb7c8012ce376706de85583,128.0,394.0,0.5241018875557844,0.59375,0.06964811244421566,0.037438032677970294,942.4827670011001,0.6608090903823806,0.050194983542060666,1.860357167891431,0.06283501034967309,0.28989648721990185,False
0x1a31a5a8e54b8452e7b41d48c237746bbdbb0a68,22.0,22.0,0.49954534317272736,0.6818181818181818,0.18227283864545454,0.09770290253655506,21.999977000003884,0.22242563730826315,0.05010363371325782,1.8655826379084086,0.062099780583848796,0.2888868117854771,False
0x37c1ff27d21b08d1cae9f38453b895eae2a78de1,94.0,118.0,0.41672056699003174,0.5,0.08327943300996833,0.048978623248802824,5287.612497952118,0.5323318718782545,0.05008300061352112,1.7003220483949375,0.0890703653886149,0.34699769235232303,False
0x1bcef021c846cd82e3daab1f0e239c052465c696,72.0,145.0,0.7103605666459004,0.7916666666666666,0.08130610002076626,0.04762087185886264,557.5887239998852,0.5463004201850118,0.04999649581369872,1.7073626930170223,0.08775466005454158,0.3448159576226393,False
0xadb0de3b5efb5861bac9cf93ee49a5dee5180f62,37.0,43.0,0.6600044111542029,0.7567567567567568,0.09675234560255391,0.05832285244794458,204.95468769430124,0.4452919239132957,0.04990403327004506,1.6589096990568004,0.0971339899250947,0.36442710943596024,False
0x05d3e8e5b270710ec7c6d1ad4c702eb84536c06a,107.0,183.0,0.5384909136634485,0.616822429906542,0.07833151624309355,0.04544677060745649,4131.203834467468,0.5693482567906827,0.04989344257657109,1.7235881713065357,0.08478221542911468,0.3398372799554188,False
0xb1aad9392ed144ad577e2e55fb83c783e52e16cf,26.0,28.0,0.777695949541183,0.8846153846153846,0.10691943507420168,0.06449501833358284,2606.549634982794,0.39630143485079095,0.04979573464637273,1.6577936999907519,0.09735911336297809,0.36442710943596024,False
