wallet,n,avg_price,win_rate,edge,edge_se,staked,shrink_weight,edge_shrunk,t_stat,p_value,q_value,significant_fdr
0x831d0c4050cef46dd2cefc1f1cfb8579d1c20705,212.0,0.5659845653028301,0.5849056603773585,0.018921095074528327,0.03205246118343837,1521.271624,0.9251074734498693,0.017525003792324217,0.5903164492187242,0.554978513404359,0.7378253124024607,False
0x08824424143790006c9501b8e5b45b25d692dcea,27.0,0.30836579752962967,0.3333333333333333,0.024967535803703644,0.07403774587520201,1587.14486,0.698350140429416,0.01752049344853735,0.3372271198773246,0.7359456947311507,0.8619744047643628,False
0xec690ecdbe75275f390d9460b112dfc53ae36fba,1087.0,0.5719903058863847,0.5896964121435143,0.01770610625712965,0.011739943711813234,122669.66409,0.9892560428406917,0.01751887911414536,1.5081934540548954,0.13150502215768234,0.27519881641210725,False
0x9df15a983fa411d451c56ebb8cfcf8531dd6c50b,29.0,0.38620687630344824,0.41379310344827586,0.027586227144827613,0.08636994471208362,422.46483099999995,0.6297919193226515,0.017477179045280643,0.3193961422203869,0.7494261358198537,0.8704766105217626,False
0x89b55290123e979921c60899866adf5688737037,32.0,0.98248647893125,1.0,0.017513521068750038,0.006545179767262661,996.03,0.9966356350742809,0.017455540650044787,2.6757891595809564,0.007455352973653406,0.02617689879397597,True
0x3b9e5de41d52ace48bb2baf8945c37392f28cb21,247.0,0.4879452990279352,0.5060728744939271,0.01812757546599192,0.022304342370755768,5854.355586000001,0.9622773130600585,0.01745431063043421,0.8127375003783928,0.41636857583602027,0.6188856248051512,False
0x05ddbe2edc2fcb293eb149028f45e93cec14305c,40.0,0.9825486995424999,1.0,0.017451300457500096,0.0026535552064075327,439.20000000000005,0.9994454523389572,0.017441778059886098,6.576573351615405,4.814126874919111e-11,4.223015230769207e-10,True
0x92600331892ca70eb266285c6f589dac56937a42,23.0,0.5406955995565217,0.5652173913043478,0.024521791747826094,0.07239831601518713,151.837638,0.7076996016493685,0.01743585728613723,0.3387066591808863,0.7348307235976999,0.861931978535016,False
0xbd3a01ef18c402d09b5e1bcdd63c43bd52ad91fd,67.0,0.5018364014477612,0.5223880597014925,0.020551658253731286,0.04884624009955112,17920.488637,0.8417422665289901,0.01734348499341582,0.420741866965522,0.6739435855482343,0.8244792241126204,False
0xd0ac6e6b585c00042a0552a6cf35f2f056ef7dee,2330.0,0.5556739220246353,0.572961373390558,0.01728745136592269,0.0070272030329463255,757551.524632,0.9961238385023774,0.017221527086960158,2.460075692259386,0.013890771609405883,0.04507551175374826,True
0x89fba663c2c73e3557ec3f8f3c166f06eb71141b,21.0,0.6311285564285714,0.6666666666666666,0.03553811023809528,0.11773408256385301,2064.19,0.47795097638583844,0.01713156056209086,0.3018506575512762,0.7627659117421046,0.8771667693858259,False
0x95c52e00752a462608ee1e72d0685fc26973d5d3,64.0,0.5732091239078125,0.59375,0.020540876092187466,0.050683972806217024,12350.498752,0.8316524834752302,0.017129979654001877,0.4052735994221011,0.6852764102398328,0.832443602995084,False
0x6a88c5ecd262e2c42e78bad8e6db7ab3c4e4b859,104.0,0.9829657530644232,1.0,0.017034246935576758,0.00211857385479395,36036.849325999996,0.9996464448486426,0.017028323325903868,8.040431017795926,8.881784197001252e-16,9.719105774673558e-15,True
0xf20289c42fcfe6bb375969ab6156091b780e9ea8,21.0,0.8313023189238096,0.8571428571428571,0.025840538219047526,0.08192933119448122,5418.607078000001,0.6540500202355921,0.016997812454601014,0.31540033150896946,0.752457715162347,0.8721142915397146,False
0x8d0c8253703b8febbe53f45d182671c5385dc90a,271.0,0.46575647204797055,0.4833948339483395,0.017638361900368937,0.023198959374363056,7799.644788999999,0.9593161278043169,0.01693214969248952,0.7603083231337057,0.4470703079159106,0.6493684087019646,False
0x272531256c25f583450ed9a5d316caaeda0be7d1,339.0,0.49560473457079646,0.5132743362831859,0.017669601712389404,0.023840015213590974,11338.801108,0.9571343431717252,0.01692417781588698,0.7411740954895082,0.4585878879087186,0.6601839623889032,False
0x9088ccf5da938dc83afa1d553cf249fbdfab351e,30.0,0.5096666439666667,0.5333333333333333,0.023666689366666604,0.07178589383425119,390.292713,0.7112017448888227,0.016912605795687725,0.3296844004103564,0.7416384420100648,0.8657302144842619,False
0x4126330ba61224a3b265921fcdea1adc50d6e68b,7220.0,0.6561853835562742,0.6731301939058172,0.016944810349542982,0.00516469204431572,42070.174153,0.9979025070858385,0.016909855675751134,3.280894621431012,0.001034783974732889,0.004538630367865319,True
0x5368b59f5f90f293d8ae0cb9a3651a10e89a7250,187.0,0.9562303384877006,0.9732620320855615,0.017031693597860942,0.011937800309633428,1860.644932,0.9888949048012297,0.016845662581177062,1.4267028393930248,0.1536655668743674,0.31021815749096915,False
0x894381f05b7133c66b6b35f60db29d4d33096c65,418.0,0.5878806648624402,0.6052631578947368,0.017382493032296664,0.020311975759344143,2357.150537,0.9685128570145807,0.016843979102108674,0.8557755896444577,0.39212191982368405,0.5966006235361198,False
0x5aa981521b4e94fee3b3bf18fe441f62e865febe,1177.0,0.43588870788309253,0.45284621920135937,0.016957511318266838,0.009823817926595993,368231.64127200004,0.992452659631481,0.016831639196654008,1.7261630299924247,0.08431808704379096,0.19472856442439596,False
