wallet,n_p1,avg_price_p1,win_rate_p1,edge_p1,edge_se_p1,staked_p1,n_p2,avg_price_p2,win_rate_p2,edge_p2,edge_se_p2,staked_p2
0x809866978e1b5b4bc4d2f24963427ed6aad75646,581.0,0.5890225725626507,0.6729776247848537,0.08395505222220301,0.016007016452614074,21675.299025,308.0,0.502411862402922,0.4675324675324675,-0.034879394870454494,0.025080379189416285,4138.428656
0x80d8dddcfdc075eb70f6d2d774a27bfb255ab703,545.0,0.4871376312917431,0.5045871559633027,0.017449524671559635,0.0182511628452696,40303.935577000004,348.0,0.4642241433244253,0.46264367816091956,-0.0015804651635057398,0.025291410161132153,55215.46482000001
0x8165f885f94e120a28c4d38396acfe4b871b97b8,45.0,0.9178535143066666,0.9777777777777777,0.05992426347111113,0.0169880835062519,17417.914595,87.0,0.9080856191850576,0.9425287356321839,0.034443116447126276,0.013535004985871932,21887.633967
0x81f50b448d31c881499e77ef301a9a4187f270af,47.0,0.3748936224531915,0.7021276595744681,0.3272340371212766,0.07045688318034793,12753.723118000002,70.0,0.5311670809585713,0.6142857142857143,0.08311863332714298,0.051713839827842556,13343.473864999998
0x820a0e91fdf03907ff7d05d0145f9d326f16ca12,164.0,0.5632773567201219,0.7012195121951219,0.137942155475,0.03301745764038038,57555.388583,89.0,0.5322604379191013,0.48314606741573035,-0.04911437050337092,0.04546106531825842,27332.241765
0x8255b414608fa97b7bf7153d7025af0a3dc0cba9,169.0,0.4651501044538462,0.42011834319526625,-0.04503176125857994,0.029066058980018204,2034.623821,20.0,0.78044994944,0.8,0.019550050560000032,0.0774331163093006,104.53200199999998
0x829ae1c1147ca6d2a4529bf36d264fd6cf73a748,70.0,0.7676428161028572,0.8571428571428571,0.08950004103999987,0.02888562272900558,203.66249600000003,113.0,0.506265417518584,0.4424778761061947,-0.06378754141238929,0.04228175358610575,735.531743
0x831cfc1bbb586878610ac21fed0c9a3a2e66ce7d,27.0,0.8032592592592592,0.8518518518518519,0.04859259259259263,0.030422254340255403,716.2200000000001,41.0,0.4907317131902439,0.6585365853658537,0.1678048721756098,0.0716474359947393,1373.946342
0x831d0c4050cef46dd2cefc1f1cfb8579d1c20705,61.0,0.6651322112311472,0.7377049180327869,0.07257270680163974,0.05567353672465031,727.955987,151.0,0.5259315427754967,0.5231788079470199,-0.0027527348284768216,0.03895150777165666,793.315637
0x836f41c6520e8c5d68cc6787e80dea37f08fe56c,40.0,0.9269874999999999,0.925,-0.001987499999999809,0.04107953701513936,1418.98,20.0,0.902675004625,1.0,0.09732499537499995,0.020986784366604155,649.969045
0x84ad9c5c547a82ec9a08547b94bd922446e5bfb7,52473.0,0.5653070605345645,0.5789453623768415,0.01363830184227699,0.001715742017113991,911102.741625,23699.0,0.6255576469148107,0.6342883665977468,0.008730719682936039,0.002814591645232253,609846.0302560001
0x84cfffc3f16dcc353094de30d4a45226eccd2f63,111.0,0.5244749965378378,0.5135135135135135,-0.010961483024324314,0.02766020686975531,44486.32,33.0,0.7018181818181818,1.0,0.2981818181818182,0.00181818181818182,2258.5
0x84d7b7a1d571534fbad757dfafdf9e604726298f,74.0,0.2810810937567568,0.25675675675675674,-0.02432433700000003,0.059311372329768866,4196.215986,121.0,0.5170082667429752,0.4214876033057851,-0.09552066343719007,0.03056300685686827,3981.841678
