minute_of_day,n,rms_logret,se,ci_lo,ci_hi,vol_ratio_to_mean
1113,71,0.0005013978764132583,4.2076375097555354e-05,0.0004189281812220498,0.0005838675716044667,0.8955726895610174
1114,71,0.00044038695753553363,3.695645252008155e-05,0.0003679523105961738,0.0005128216044748934,0.7865979306274989
1115,71,0.0004727059174621378,3.9668599389075943e-05,0.00039495546265954897,0.0005504563722647267,0.8443244971465554
1116,71,0.0005511152578134114,4.6248565062988854e-05,0.00046046807028995323,0.0006417624453368695,0.9843754768743157
1117,71,0.0004329398413347829,3.633150441120762e-05,0.000361730092688816,0.0005041495899807499,0.7732962510649738
1118,71,0.0005680184102365584,4.7667046103984104e-05,0.00047459099987274953,0.0006614458206003673,1.0145670719922428
1119,71,0.0006266674458876346,5.258876384403021e-05,0.0005235934687533353,0.0007297414230219338,1.1193231490899906
1120,71,0.0004191710745344904,3.517605516865364e-05,0.0003502260064039293,0.00048811614266505157,0.7487031442822217
1121,71,0.0006149884846688574,5.160868719012343e-05,0.0005138354577762154,0.0007161415115614993,1.0984627521836456
1122,71,0.00040709202854916153,3.416240414696399e-05,0.0003401337164211121,0.00047405034067721095,0.7271281352738147
1123,71,0.0006455125148153349,5.417020689802444e-05,0.0005393389092952069,0.0007516861203354628,1.1529833017521312
1124,71,0.0004446198629544877,3.731167005198348e-05,0.0003714889896526001,0.0005177507362563753,0.7941585420082812
1125,71,0.000887859270918345,7.450749489455648e-05,0.0007418245809250143,0.0010338939609116757,1.5858513819325792
1126,71,0.0004313248740721252,3.619597936909944e-05,0.0003603807545086903,0.0005022689936355601,0.7704116744781769
1127,71,0.00043354336387411253,3.6382150897639346e-05,0.0003622343481147394,0.0005048523796334856,0.774374233898935
1128,71,0.0005810090513777112,4.875719649178185e-05,0.00048544494625381876,0.0006765731565016036,1.0377703282747153
1129,71,0.0006192313520901928,5.196474071469433e-05,0.0005173804602893919,0.0007210822438909936,1.1060411572123185
1130,71,0.00047297321646105986,3.969103062277462e-05,0.00039517879644042163,0.0005507676364816982,0.8448019337186727
1131,71,0.0006078759059260049,5.101181284108152e-05,0.0005078927527574852,0.0007078590590945247,1.0857586072837562
1132,71,0.0009119882838954571,7.653235668300562e-05,0.0007619848647967662,0.0010619917029941481,1.6289494604544643
1133,71,0.00048174849348672164,4.042743551215708e-05,0.00040251071988289377,0.0005609862670905495,0.8604759100500713
1134,71,0.0004672650014943152,3.921200786385039e-05,0.00039040946608116843,0.000544120536907462,0.8346061956215562
1135,71,0.0006897904638988542,5.788592984347438e-05,0.0005763340414056445,0.000803246886392064,1.2320704375665834
1136,71,0.000650229847477895,5.4566076661154894e-05,0.0005432803372220315,0.0007571793577337586,1.1614091736971512
1137,71,0.0004678198028670112,3.925856576080278e-05,0.00039087301397583776,0.0005447665917581847,0.8355971550589432
1138,71,0.0006132032681033441,5.1458875143893315e-05,0.0005123438728213132,0.000714062663385375,1.0952740845082607
1139,71,0.00037505954814934597,3.1474298105811063e-05,0.0003133699238619563,0.00043674917243673563,0.6699132646601049
1140,71,0.0005402683328302739,4.533831133891969e-05,0.0004514052426059913,0.0006291314230545565,0.9650012229382889
1141,71,0.00057237556340732,4.803269027559875e-05,0.00047823149046714647,0.0006665196363474935,1.02234960871115
1142,71,0.0006435216831077852,5.400314001237627e-05,0.0005376755286835277,0.0007493678375320427,1.1494273742329566
1143,71,0.0004791113524442856,4.0206131551955934e-05,0.000400307334602452,0.0005579153702861192,0.855765575987588
1144,71,0.0005332179707763146,4.4746658098427195e-05,0.0004455145209033973,0.0006209214206492319,0.9524082064855446
1145,71,0.0005086776744764874,4.268728218023798e-05,0.0004250106014032209,0.0005923447475497538,0.908575513541017
1146,71,0.0005260737361461573,4.4147127246334633e-05,0.00043954536674334143,0.0006126021055489732,0.9396475193674535
1147,71,0.0005156635187116398,4.327352120564841e-05,0.00043084741714856893,0.0006004796202747107,0.9210532913794162
1148,71,0.0004124889681832329,3.461530526024051e-05,0.0003446429698731615,0.0004803349664933043,0.7367678883937502
1149,71,0.0006660018915535684,5.588963719820878e-05,0.0005564582026450792,0.0007755455804620576,1.1895804376717192
1150,71,0.0005072062896785661,4.256380631090831e-05,0.0004237812293091858,0.0005906313500479465,0.9059473970234923
1151,71,0.0005028813648065818,4.2200866678048016e-05,0.0004201676661176077,0.0005855950634955559,0.8982224249365344
1152,71,0.0004280426090379837,3.592053780613538e-05,0.00035763835493795833,0.000498446863138009,0.7645490510751702
1153,71,0.0005453580187335596,4.576542829188198e-05,0.000455657779281471,0.0006350582581856483,0.9740921742722541
1154,71,0.0004468018685855529,3.749477989691231e-05,0.0003733120999876048,0.000520291637183501,0.7980559351636517
1155,71,0.0006992257762530759,5.86777236672113e-05,0.0005842174378653417,0.00081423411464081,1.2489233371487785
1156,71,0.00048610385139930456,4.079292902905203e-05,0.0004061497105023626,0.0005660579922962465,0.8682552401654583
1157,71,0.0006502991296127627,5.457189068875929e-05,0.0005433382238627945,0.0007572600353627309,1.1615329221029198
1158,71,0.000777960591231464,6.528500256509153e-05,0.0006500019862038846,0.0009059191962590435,1.3895556639481979
1159,71,0.0005352208250158959,4.49147338925514e-05,0.0004471879465864951,0.0006232537034452966,0.9559856080712308
1160,71,0.0007044266162453222,5.9114168464109006e-05,0.0005885628460556686,0.0008202903864349758,1.258212826552187
1161,71,0.0007005849131127939,5.879177989881623e-05,0.0005853530245111141,0.0008158168017144737,1.2513509618161314
1162,71,0.00040317753138138367,3.3833906841933556e-05,0.00033686307397119393,0.0004694919887915734,0.7201362493450112
1163,71,0.00042295133007927665,3.549328716693187e-05,0.00035338448723209017,0.0004925181729264631,0.7554552543024919
1164,71,0.0005166749359655374,4.335839745614146e-05,0.00043169247695150017,0.0006016573949795747,0.9228598360676808
1165,71,0.0006294916169764765,5.2825763017069866e-05,0.0005259531214630196,0.0007330301124899334,1.1243675471953587
1166,71,0.00043893659648527953,3.683474092446426e-05,0.0003667405042733296,0.0005111326886972295,0.7840073657134584
1167,71,0.0005302571061284374,4.449818785673338e-05,0.00044304065792924,0.0006174735543276349,0.9471196529418117
1168,71,0.00046325942848635473,3.887586764409271e-05,0.000387062727903933,0.0005394561290687764,0.8274516344223071
1169,71,0.0005432685057621336,4.5590080258527996e-05,0.0004539119484554188,0.0006326250630688485,0.9703599870418673
1170,71,0.0011981295099760569,0.0001005447949597054,0.0010010617118550343,0.0013951973080970795,2.1400411094028873
1171,71,0.00077316639558734,6.488268260383392e-05,0.0006459963376838255,0.0009003364534908544,1.3809925030548893
1172,71,0.0005228148609532888,4.387364851524756e-05,0.0004368225098634036,0.0006088072120431741,0.9338266737701431
1173,71,0.0005663875138474302,4.7530184319277134e-05,0.00047322835258164705,0.0006595466751132134,1.0116540435684787
1174,71,0.0005452466046192801,4.575607862710653e-05,0.0004555646905101513,0.0006349285187284088,0.9738931717581347
1175,71,0.0005037068119623228,4.22701366645837e-05,0.0004208573440997388,0.0005865562798249069,0.8996967988103244
1176,71,0.0005744162923820245,4.820394444688954e-05,0.000479936561266121,0.000668896023497928,1.0259946603208918
1177,71,0.0005197328915395534,4.361501538736282e-05,0.0004342474613803223,0.0006052183216987845,0.9283218087381083
1178,71,0.0005622489210894437,4.718288133006873e-05,0.00046977047368250896,0.0006547273684963784,1.0042618889112203
1179,71,0.0004297202027462219,3.6061318342810316e-05,0.0003590400187943137,0.0005004003866981301,0.7675454879967324
1180,71,0.0004735052482741897,3.973567774073455e-05,0.00039562331990235,0.0005513871766460294,0.8457522232676137
1181,71,0.00042657015820042946,3.579697247674699e-05,0.00035640809214600535,0.0004967322242548536,0.7619190304490998
1182,71,0.00044675856339512646,3.749114580605997e-05,0.00037327591761524893,0.000520241209175004,0.7979785855224054
1183,71,0.00044887935598040055,3.766911876629756e-05,0.00037504788319845734,0.0005227108287623437,0.8017666428895044
1184,71,0.00045281798212047614,3.79996409297027e-05,0.00037833868589825885,0.0005272972783426934,0.8088016268241702
1185,71,0.0006313146235627724,5.2978746331397033e-05,0.0005274762807532342,0.0007351529663723106,1.1276237135821323
1186,71,0.000796429354195,6.68348667240715e-05,0.0006654330154158199,0.0009274256929741802,1.4225436770575437
1187,71,0.0005780955336861966,4.851269951840319e-05,0.0004830106426301264,0.0006731804247422669,1.0325663435794894
1188,71,0.00038785513882476044,3.254808022213134e-05,0.000324060901589383,0.0004516493760601379,0.6927681312137436
1189,71,0.0005714272869705994,4.795311268477796e-05,0.0004774391861084346,0.0006654153878327642,1.0206558431033732
1190,71,0.0006868000015129866,5.763497581478362e-05,0.0005738354489160107,0.0007997645541099625,1.2267290179716284
1191,71,0.0004965278928380088,4.1667695154399314e-05,0.0004148592103353861,0.0005781965753406315,0.8868741599226322
1192,71,0.0003530426460853419,2.962668072785545e-05,0.0002949743518587452,0.00041111094031193857,0.6305877367214703
1193,71,0.0004600959186899454,3.861039179929914e-05,0.00038441955076331906,0.0005357722866165717,0.8218011258938509
1194,71,0.0005522202344121342,4.6341292639289085e-05,0.0004613913008391276,0.0006430491679851408,0.9863491327491655
1195,71,0.0005383850277996936,4.518026789155476e-05,0.00044983170273224624,0.000626938352867141,0.9616373543803167
1196,71,0.00043274167068725416,3.6314874299890845e-05,0.0003615645170594681,0.0005039188243150402,0.7729422882180049
1197,71,0.0002679100609448655,2.2482512884506098e-05,0.00022384433569123353,0.0003119757861984974,0.4785280216127074
1198,71,0.00041858406951826376,3.512679480196923e-05,0.0003497355517064041,0.00048743258733012344,0.747654664250897
1199,71,0.0005166818775760963,4.335897998315921e-05,0.00043169827680910423,0.0006016654783430884,0.9228722348374613
1200,71,0.0009101741929393257,7.638012155174161e-05,0.0007604691546979121,0.0010598792311807392,1.6257092187360254
1201,71,0.0011433877309915705,9.595096691532755e-05,0.0009553238358375285,0.0013314516261456126,2.042263985600145
1202,71,0.0005776313311862194,4.8473744509957626e-05,0.0004826227919467025,0.0006726398704257363,1.0317372074762825
1203,71,0.0006032582072673625,5.062430417782509e-05,0.0005040345710788254,0.0007024818434558997,1.0775106967882315
1204,71,0.0004853507321437863,4.0729728665071514e-05,0.0004055204639602461,0.0005651810003273265,0.8669100548965267
1205,71,0.0006306255393224787,5.292091966652198e-05,0.0005269005367760956,0.0007343505418688618,1.1263929045670873
1206,71,0.0009469687796606751,7.946785467802034e-05,0.0007912117844917552,0.001102725774829595,1.6914299338436525
1207,71,0.0004735768748650424,3.974168851071475e-05,0.0003956831653840415,0.0005514705843460433,0.8458801592275202
1208,71,0.0008099968721655063,6.797342753999192e-05,0.0006767689541871221,0.0009432247901438904,1.4467773228927308
1209,71,0.0007476642304588926,6.274258844663424e-05,0.0006246887571034895,0.0008706397038142958,1.335441766428138
1210,71,0.0005982432890590523,5.020346159044544e-05,0.0004998445043417793,0.0006966420737763254,1.0685532919027687
1211,71,0.000494090823206606,4.1463180814044895e-05,0.0004128229888110781,0.0005753586576021341,0.8825211837591593
1212,71,0.00038521028505053323,3.232612902385613e-05,0.00032185107216377523,0.00044856949793729123,0.6880440210419486
1213,71,0.00040556086344470664,3.4033911625750695e-05,0.00033885439665823526,0.000472267330231178,0.7243932420577365
1214,71,0.0004146661449669784,3.4798009877304074e-05,0.00034646204560746243,0.0004828702443264944,0.7406566564950768
1215,71,0.000668267434064528,5.607975730237137e-05,0.0005583511097518801,0.0007781837583771758,1.193627040370496
1216,71,0.0007042818459854615,5.9102019613777925e-05,0.0005884418875424568,0.0008201218044284663,1.2579542449005867
1217,71,0.0005269771997815307,4.4222944230405064e-05,0.00044030022908993677,0.0006136541704731246,0.9412612425121144
1218,71,0.0005098568325283175,4.27862349257961e-05,0.0004259958120737571,0.0005937178529828778,0.9106816687474356
1219,71,0.00044876728657837543,3.7659714110996064e-05,0.00037495424692082313,0.0005225803262359277,0.8015664699320377
1220,71,0.00048361101030741394,4.0583734451700975e-05,0.00040406689078208006,0.0005631551298327478,0.8638026477107733
1221,71,0.0006845496107692799,5.7446127218683415e-05,0.0005719552014206604,0.0007971440201178994,1.2227094786282995
1222,71,0.0005328440709252424,4.471528111993823e-05,0.0004452021199301635,0.0006204860219203214,0.9517403646158372
1223,71,0.0003498176177863226,2.935604236500382e-05,0.0002922797747509151,0.00040735546082173004,0.624827346812514
1224,71,0.0004019496287247291,3.3730863540006805e-05,0.00033583713618631577,0.0004680621212631424,0.7179430288778529
1225,71,0.00039410267457149135,3.3072361775526214e-05,0.00032928084549146,0.0004589245036515227,0.703927178060637
1226,71,0.0005382741278878981,4.517096137769321e-05,0.0004497390435876194,0.0006268092121881768,0.9614392703098591
1227,71,0.0003746809109181978,3.1442523575217403e-05,0.00031305356471077173,0.0004363082571256239,0.6692369611107302
1228,71,0.0004746303705701051,3.9830095906388174e-05,0.0003965633825935843,0.000552697358546626,0.8477618624145644
1229,71,0.00037128384493060907,3.115744813024858e-05,0.0003102152465953218,0.0004323524432658963,0.6631692857849304
1230,71,0.0005802976503514945,4.869749704383443e-05,0.000484850556145579,0.0006757447445574099,1.0364996580936547
1231,71,0.000649961303285295,5.4543540933124014e-05,0.0005430559630563719,0.0007568666435142181,1.1609295130201789
1232,71,0.0004003277669442074,3.359475992281203e-05,0.0003344820374954958,0.00046617349639291897,0.7150461376359744
1233,71,0.00047913778454843374,4.02083496848621e-05,0.000400329419166104,0.0005579461499307635,0.8558127877364131
1234,71,0.0004985908058746383,4.184081097081198e-05,0.00041658281637184684,0.0005805987953774298,0.8905588356331892
1235,71,0.00048348009684567547,4.057274843803687e-05,0.0004039575099071232,0.0005630026837842278,0.8635688164032546
1236,71,0.00039553368904930074,3.3192449842849246e-05,0.0003304764873573162,0.0004605908907412853,0.7064831870606356
1237,71,0.0004779905796217091,4.0112078385996754e-05,0.00039937090598515546,0.0005566102532582628,0.8537637056600111
1238,71,0.0004260007348304147,3.574918752903751e-05,0.0003559323272735012,0.0004960691423873283,0.7609019539057547
1239,71,0.00038328745515381536,3.216476872340601e-05,0.0003202445084559396,0.00044633040185169113,0.6846095550755379
1240,71,0.00037499311702430545,3.1468723329636595e-05,0.00031331441929821776,0.00043667181475039315,0.6697946085905008
1241,71,0.00027934940752358066,2.3442481524501377e-05,0.00023340214373555797,0.00032529667131160335,0.4989604304126935
1242,71,0.00037942041775832657,3.184025415399297e-05,0.0003170135196165003,0.0004418273159001528,0.6777024395016049
