ticker,n_trades,notional,net_signed,vwap_yes,first_ns,last_ns,one_sidedness,side
KXATPCHALLENGERMATCH-26JUL30SQUPDA-SQU,3420,130235.7568,85968.7768,0.21434795321637426,1785402231533066000,1785419194424551000,0.6601011804463213,yes
KXCLUBFGAME-26JUL30PARARE-TIE,5231,130160.7853,80811.8513,0.5984630089848977,1785402251245364000,1785430275724064000,0.6208617373792074,yes
KXLOLGAME-26JUL300600DKHLE-DK,3426,129261.9544,11436.3268,0.43997664915353185,1785402011229194000,1785421734919735000,0.08847403594572295,yes
KXETH15M-26JUL301130-30,5154,125615.77474,-1770.7655599999998,0.7801526969344199,1785424501460643000,1785425395827842000,0.014096681437225039,no
KXBTCD-26JUL3008-T64499.99,2123,125180.3265,-26626.9769,0.6762458784738576,1785409201003656000,1785412742727280000,0.2127089587036666,no
KXITFWMATCH-26JUL30CEXLIM-CEX,3116,124267.9646,62554.9448,0.4111745827984596,1785412595204689000,1785425465473933000,0.5033875383841283,yes
KXWTAMATCH-26JUL29LIUJOI-JOI,1021,123342.1298,87801.086,0.6694515181194907,1785402058432057000,1785430274483318000,0.7118499262366393,yes
KXITFWMATCH-26JUL30KAJPOD-KAJ,1207,121237.558,71074.5448,0.7756669428334714,1785402013242554000,1785417678764254000,0.5862419696708177,yes
KXODIMATCH-26JUL300600NOTLAN-LAN,4084,119864.9695,41721.975099999996,0.4644857982370225,1785408335573873000,1785430276108097000,0.34807479845060146,yes
KXATPCHALLENGERMATCH-26JUL30JUSTOR-JUS,2979,119487.2392,65905.7248,0.26269217858341726,1785408350231814000,1785418540204740000,0.5515712409229386,yes
KXLOLGAME-26JUL300700JDGTT-JDG,2169,119287.1545,49757.763100000004,0.7194190871369295,1785402010504971000,1785424129907419000,0.4171259119103223,yes
KXBTCD-26JUL3011-T64499.99,1358,118951.3425,-27462.464500000002,0.8679086892488953,1785420002676369000,1785423514761884000,0.23087141282159132,no
KXITFWMATCH-26JUL30ZHUMAH-MAH,2159,117821.8839,88140.1799,0.6084344603983326,1785415698068379000,1785430271823898000,0.7480798726220333,yes
CONTROLH-2026-D,56,115976.58529999999,98119.57389999999,0.83875,1785409323514902000,1785429764303645000,0.8460291674064316,yes
KXITFMATCH-26JUL30ZAHMAR-MAR,1679,112965.9572,36385.2892,0.6246575342465754,1785402150912964000,1785411415136559000,0.3220907439891989,yes
KXITFWMATCH-26JUL30CHAPEN-CHA,1290,112613.9878,58987.6688,0.7343798449612402,1785415288566949000,1785421560515062000,0.5238041024242993,yes
KXBTCD-26JUL3010-T64599.99,1551,108925.2567,-19720.9793,0.7565377176015474,1785416402403866000,1785419950593225000,0.18105056529097902,no
KXATPCHALLENGERMATCH-26JUL30PANDHA-DHA,955,108875.7742,61873.70339999999,0.6604921465968586,1785402028368305000,1785410435471720000,0.5682963345577752,yes
KXCLUBFGAME-26JUL30PARARE-PAR,5771,107691.4532,83305.4374,0.3725454860509444,1785402251824908000,1785430273586029000,0.7735566279831758,yes
KXITFWMATCH-26JUL30GRASIS-SIS,978,107059.023,73736.6306,0.729478527607362,1785408916722339000,1785414742465072000,0.6887474640974447,yes
KXATPCHALLENGERMATCH-26JUL30RONGOM-GOM,1109,106878.2662,53488.026,0.7674752028854824,1785402015535624000,1785410701425961000,0.5004574634463896,yes
KXETH15M-26JUL300915-15,3835,105807.26039,-4741.295069999998,0.6310432855280312,1785416401281037000,1785417296993805000,0.04481067794897849,no
KXITFWMATCH-26JUL30EWANOE-NOE,1388,105542.3839,44141.9135,0.720814121037464,1785408426956847000,1785415304511363000,0.41823873849413784,yes
KXATPSETWINNER-26JUL30NAKMEN-1-MEN,1280,104456.37419999999,81059.62359999999,0.5088515625,1785402011758909000,1785428059400591000,0.7760141419880913,yes
KXBTCD-26JUL3011-T64799.99,3756,104033.4182,10051.3352,0.30679712460063896,1785420003784136000,1785423562847233000,0.0966164082071851,yes
KXITFWMATCH-26JUL30TIKLUK-TIK,2931,103182.7587,59620.1259,0.38535653360627775,1785416635591934000,1785426189772394000,0.5778109313140509,yes
KXMLBF5-26JUL301210TEXTB-TB,1299,103013.3825,93557.5711,0.5370823710546575,1785402275863528000,1785430274851065000,0.9082079321101799,yes
KXATPSETWINNER-26JUL30NAKMEN-1-NAK,1128,98802.1755,29975.8635,0.5745744680851064,1785415789050905000,1785428191936621000,0.30339274766272734,yes
KXITFMATCH-26JUL30UJVWAL-UJV,769,97904.1782,78290.4898,0.8968920676202862,1785410519696244000,1785420487541790000,0.7996644396530974,yes
KXITFWMATCH-26JUL30RAJDUD-RAJ,1644,97223.9552,58792.7892,0.7112469586374696,1785413018994774000,1785422181746563000,0.6047150527774455,yes
KXITFWMATCH-26JUL30SLAMAN-SLA,2200,96699.1394,28663.8318,0.4458,1785402138909281000,1785412631564854000,0.2964228221456126,yes
KXATPCHALLENGERMATCH-26JUL30GAUOLI-GAU,922,92563.9645,75056.7163,0.8787418655097614,1785410171014966000,1785430275229611000,0.8108632414939401,yes
KXMLBGAME-26JUL301410NYYCWS-CWS,1292,91867.1957,73745.4847,0.5241640866873065,1785402263861643000,1785430272052103000,0.8027401308822144,yes
KXMLBTOTAL-26JUL301210TEXTB-7,685,91117.1354,-18714.2664,0.516058394160584,1785402049705389000,1785430267393610000,0.20538690464581924,no
KXBTC15M-26JUL300515-15,4085,90970.4906,5462.362,0.4959926560587515,1785402001689247000,1785402485027330000,0.06004542752240582,yes
KXITFMATCH-26JUL30FABRAY-RAY,755,89349.991,59142.245599999995,0.7395496688741722,1785402002692171000,1785413518973037000,0.6619166374622243,yes
KXMLBGAME-26JUL301410NYYCWS-NYY,1635,89322.8942,84278.363,0.4897186544342509,1785402072627357000,1785430257806320000,0.9435247676961188,yes
KXBTCD-26JUL3009-T64899.99,3064,89267.2361,38679.6277,0.24572780678851178,1785412801016173000,1785416397215575000,0.43330150444749793,yes
KXITFWMATCH-26JUL30KLUEKS-KLU,712,86934.7607,31771.1105,0.8461095505617977,1785411686478732000,1785422759495822000,0.365459227634361,yes
KXBTCD-26JUL3013-T64599.99,997,86891.8216,-28728.1842,0.88679037111334,1785427200986044000,1785430233724622000,0.3306201167268428,no
KXITFMATCH-26JUL30LIMVIL-LIM,3578,85914.6057,43811.9539,0.2316741196198994,1785420921567796000,1785430275757043000,0.5099476805257572,yes
KXITFWMATCH-26JUL30CRABER-BER,1507,85603.1473,40412.3349,0.6542003981420039,1785410980650956000,1785419798543602000,0.4720893585649742,yes
KXBTCD-26JUL3007-T64499.99,2142,83550.8264,-1588.1413999999993,0.42606909430438844,1785408334866487000,1785409198399107000,0.019008087273688523,no
KXITFMATCH-26JUL30STODHO-DHO,1261,83182.4113,25285.5375,0.543917525773196,1785408418453809000,1785414739331151000,0.3039769718721775,yes
KXITFMATCH-26JUL30ROVMUN-MUN,943,83007.2201,59267.0179,0.7959490986214209,1785409753595688000,1785418258010963000,0.7139983465125102,yes
KXATPMATCH-26JUL30DEHEW-DE,311,82468.3174,77910.8216,0.9133762057877813,1785402083641312000,1785430259913150000,0.9447364037040483,yes
KXMLBGAME-26JUL301415CHCSTL-CHC,1341,82391.48539999999,80067.491,0.489351230425056,1785402101487372000,1785430271750675000,0.9717932697933858,yes
KXITFMATCH-26JUL30KELFUN-KEL,789,82348.79089999999,52837.2619,0.8775158428390367,1785413531995367000,1785420512933316000,0.6416276586764069,yes
KXITFWMATCH-26JUL30PALURG-URG,1933,81047.3513,68237.5297,0.37655457837558204,1785408397114698000,1785416564926805000,0.8419464498897202,yes
KXITFMATCH-26JUL30FIXBLA-BLA,859,79160.7754,53833.6704,0.9042258440046566,1785411011629080000,1785422475999937000,0.6800548646470181,yes
KXETH15M-26JUL301215-15,3117,78809.5807,-27327.72692,0.874795316008983,1785427201111538000,1785428072937428000,0.3467564054683519,no
KXITFWMATCH-26JUL30BRONGU-NGU,643,78004.8701,32804.8499,0.6912286158631414,1785415273326276000,1785426640735416000,0.42054874084073374,yes
KXITFWMATCH-26JUL30REGMAR-MAR,439,77446.0379,46593.8413,0.858359908883827,1785424441234150000,1785430255863917000,0.6016297613592961,yes
KXBTCD-26JUL3012-T64799.99,2828,77205.6544,7989.851000000001,0.21305516265912305,1785423602390343000,1785427178648271000,0.10348789945623466,yes
KXCS2GAME-26JUL310830MOUZ3DMAX-MOUZ,1192,76485.007,55716.4668,0.6318372483221477,1785408338603839000,1785430274218893000,0.7284625965975267,yes
